A	Z	Atomic Mass [micro-u]
172	80	171998860.6
173	80	172997143
174	80	173992870.6
175	80	174991444.5
176	80	175987348.7
177	80	176986284.6
178	80	177982484.8
179	80	178981821.8
180	80	179978260.2
181	80	180977819.4
182	80	181974689.2
183	80	182974444.7
184	80	183971717.7
185	80	184971890.7
186	80	185969362.1
187	80	186969813.5
188	80	187967580.7
189	80	188968194.8
190	80	189966322.3
191	80	190967158.3
192	80	191965634.3
193	80	192966653.4
194	80	193965449.1
195	80	194966705.8
196	80	195965833.4
197	80	196967213.7
198	80	197966769.2
199	80	198968281
200	80	199968326.9
201	80	200970303.1
202	80	201970643.6
203	80	202972872.4
204	80	203973494
205	80	204976073.2
206	80	205977513.8
207	80	206982300
208	80	207985759
209	80	208990757
210	80	209994310
211	80	210999581
212	80	212003242
213	80	213008803
214	80	214012636
215	80	215018368
216	80	216022459
176	81	176000627.7
177	81	176996414.3
178	81	177995047
179	81	178991122.2
180	81	179989919
181	81	180986260
182	81	181985692.6
183	81	182982192.8
184	81	183981875
185	81	184978789.2
186	81	185978654.8
187	81	186975904.7
188	81	187976020.9
189	81	188973573.5
190	81	189973841.8
191	81	190971784.1
192	81	191972225
193	81	192970502
194	81	193971081.4
195	81	194969774.1
196	81	195970481.2
197	81	196969560.5
198	81	197970446.7
199	81	198969877
200	81	199970963.6
201	81	200970820.2
202	81	201972108.9
203	81	202972344.1
204	81	203973863.4
205	81	204974427.3
206	81	205976110.1
207	81	206977418.6
208	81	207982018
209	81	208985351.7
210	81	209990072.9
211	81	210993475
212	81	211998335
213	81	213001915
214	81	214006940
215	81	215010768
216	81	216015964
217	81	217020032
218	81	218025454
178	82	178003836.2
179	82	179002202.5
180	82	179997916.2
181	82	180996660.6
182	82	181992673.5
183	82	182991862.5
184	82	183988135.6
185	82	184987610
186	82	185984239.4
187	82	186983910.8
188	82	187980879.1
189	82	188980843.7
190	82	189978081.9
191	82	190978216.5
192	82	191975789.6
193	82	192976135.9
194	82	193974011.8
195	82	194974516.2
196	82	195972787.6
197	82	196973434.7
198	82	197972015.5
199	82	198972912.6
200	82	199971818.5
201	82	200972870.4
202	82	201972151.6
203	82	202973390.6
204	82	203973043.5
205	82	204974481.7
206	82	205974465.2
207	82	206975896.8
208	82	207976652
209	82	208981090
210	82	209984188.4
211	82	210988735.3
212	82	211991895.9
213	82	212996560.8
214	82	213999803.5
215	82	215004661.6
216	82	216008062
217	82	217013162
218	82	218016779
219	82	219022136
220	82	220025905
184	83	184001347
185	83	184997600
186	83	185996623.2
187	83	186993147.3
188	83	187992276.1
189	83	188989195.1
190	83	189988624.8
191	83	190985787
192	83	191985470.1
193	83	192982947.2
194	83	193982798.6
195	83	194980648.8
196	83	195980666.5
197	83	196978864.9
198	83	197979201.3
199	83	198977672.8
200	83	199978131.3
201	83	200976995
202	83	201977723
203	83	202976892.1
204	83	203977835.7
205	83	204977385.2
206	83	205978498.8
207	83	206978470.6
208	83	207979742.1
209	83	208980398.6
210	83	209984120.2
211	83	210987268.7
212	83	211991285
213	83	212994383.6
214	83	213998710.9
215	83	215001749.1
216	83	216006306
217	83	217009372
218	83	218014188
219	83	219017520
220	83	220022501
221	83	221025980
222	83	222031079
223	83	223034611
224	83	224039796
186	84	186004403.2
187	84	187003031.5
188	84	187999415.6
189	84	188998473.4
190	84	189995101.7
191	84	190994558.5
192	84	191991340.3
193	84	192991062.4
194	84	193988186.1
195	84	194988065.8
196	84	195985540.7
197	84	196985621.9
198	84	197983388.8
199	84	198983640.4
200	84	199981812.4
201	84	200982263.8
202	84	201980738.9
203	84	202981416.1
204	84	203980310.1
205	84	204981190
206	84	205980473.7
207	84	206981593.3
208	84	207981246
209	84	208982430.4
210	84	209982873.7
211	84	210986653.2
212	84	211988868
213	84	212992857.2
214	84	213995201.3
215	84	214999418.4
216	84	216001913.4
217	84	217006316.1
218	84	218008971.2
219	84	219013614
220	84	220016386
221	84	221021228
222	84	222024140
223	84	223029070
224	84	224032110
225	84	225037123
226	84	226040310
227	84	227045390
191	85	191004148.1
192	85	192003140.9
193	85	192999927.7
194	85	193999230.8
195	85	194996274.5
196	85	195995799
197	85	196993177.4
198	85	197992797.9
199	85	198990527.7
200	85	199990351.1
201	85	200988417.1
202	85	201988625.7
203	85	202986942.9
204	85	203987251.4
205	85	204986060.5
206	85	205986645.8
207	85	206985799.7
208	85	207986613
209	85	208986168.7
210	85	209987147.4
211	85	210987496.2
212	85	211990737.3
213	85	212992936.6
214	85	213996372.3
215	85	214998651
216	85	216002422.6
217	85	217004717.8
218	85	218008695.9
219	85	219011160.6
220	85	220015433
221	85	221018017
222	85	222022494
223	85	223025151
224	85	224029749
225	85	225032528
226	85	226037209
227	85	227040183
228	85	228044960
229	85	229048191
193	86	193009708
194	86	194006145.6
195	86	195005421.7
196	86	196002120.4
197	86	197001621.4
198	86	197998679.2
199	86	198998325.4
200	86	199995705.3
201	86	200995590.5
202	86	201993264
203	86	202993361.2
204	86	203991443.7
205	86	204991723.2
206	86	205990195.4
207	86	206990730.2
208	86	207989634.5
209	86	208990401.4
210	86	209989688.9
211	86	210990600.8
212	86	211990703.9
213	86	212993885.1
214	86	213995362.7
215	86	214998745
216	86	216000271.9
217	86	217003927.6
218	86	218005601.1
219	86	219009478.7
220	86	220011392.4
221	86	221015535.6
222	86	222017576
223	86	223021889.3
224	86	224024095.8
225	86	225028485.6
226	86	226030861.4
227	86	227035304.4
228	86	228037835.4
229	86	229042257.3
230	86	230045271
231	86	231049973
197	87	197011008.1
198	87	198010282.1
199	87	199007269.4
200	87	200006584.7
201	87	201003852.5
202	87	202003329.6
203	87	203000940.9
204	87	204000652
205	87	204998593.9
206	87	205998661.4
207	87	206996941.5
208	87	207997139.1
209	87	208995939.7
210	87	209996410.6
211	87	210995555.2
212	87	211996225.4
213	87	212996184.4
214	87	213998971.2
215	87	215000341.5
216	87	216003189.5
217	87	217004632
218	87	218007578.6
219	87	219009250.7
220	87	220012326.8
221	87	221014253.7
222	87	222017582.6
223	87	223019734.2
224	87	224023348.1
225	87	225025572.5
226	87	226029544.5
227	87	227031865.4
228	87	228035839.4
229	87	229038291.4
230	87	230042390.8
231	87	231045175.4
232	87	232049461.2
233	87	233052517.8
201	88	201012814.7
202	88	202009742.3
203	88	203009233.9
204	88	204006506.9
205	88	205006230.7
206	88	206003827.8
207	88	207003772.4
208	88	208001855
209	88	209001994.9
210	88	210000475.4
211	88	211000893
212	88	211999786.6
213	88	213000371
214	88	214000099.6
215	88	215002718.2
216	88	216003533.5
217	88	217006322.7
218	88	218007134.3
219	88	219010084.7
220	88	220011027.5
221	88	221013917.3
222	88	222015373.4
223	88	223018500.6
224	88	224020210.4
225	88	225023610.5
226	88	226025408.2
227	88	227029176.2
228	88	228031068.6
229	88	229034956.7
230	88	230037054.8
231	88	231041027.1
232	88	232043475.3
233	88	233047594.6
234	88	234050382.1
235	88	235054890
205	89	205015144.2
206	89	206014476.5
207	89	207011966
208	89	208011552.3
209	89	209009495.4
210	89	210009408.6
211	89	211007668.8
212	89	212007836.4
213	89	213006592.7
214	89	214006906.4
215	89	215006474.1
216	89	216008749.1
217	89	217009342.3
218	89	218011648.9
219	89	219012420.4
220	89	220014754.5
221	89	221015599.7
222	89	222017844.2
223	89	223019136
224	89	224021722.2
225	89	225023228.6
226	89	226026097
227	89	227027750.6
228	89	228031019.7
229	89	229032947
230	89	230036327
231	89	231038393
232	89	232042034
233	89	233044346
234	89	234048139
235	89	235050840
236	89	236054988
237	89	237057993
208	90	208017915.3
209	90	209017601
210	90	210015093.5
211	90	211014896.9
212	90	212013001.6
213	90	213013011.5
214	90	214011481.5
215	90	215011724.6
216	90	216011055.9
217	90	217013103.4
218	90	218013276.2
219	90	219015526.4
220	90	220015769.9
221	90	221018185.8
222	90	222018468.2
223	90	223020811.1
224	90	224021466.1
225	90	225023951
226	90	226024903.7
227	90	227027702.5
228	90	228028739.7
229	90	229031761.4
230	90	230033132.3
231	90	231036302.8
232	90	232038053.6
233	90	233041580.1
234	90	234043599.8
235	90	235047255
236	90	236049657
237	90	237053629
238	90	238056388
239	90	239060655
211	91	211023674
212	91	212023184.8
213	91	213021099.6
214	91	214020891.1
215	91	215019114
216	91	216019134.6
217	91	217018309
218	91	218020021.1
219	91	219019949.9
220	91	220021769.8
221	91	221021873.4
222	91	222023687.1
223	91	223023980.4
224	91	224025617.3
225	91	225026147.9
226	91	226027948.2
227	91	227028803.6
228	91	228031050.8
229	91	229032095.6
230	91	230034539.7
231	91	231035882.5
232	91	232038590.2
233	91	233040246.5
234	91	234043305.6
235	91	235045399
236	91	236048668
237	91	237051023
238	91	238054637
239	91	239057260
240	91	240061203
241	91	241064134
215	92	215026719.8
216	92	216024762.8
217	92	217024660
218	92	218023504.9
219	92	219025009.2
220	92	220024706
221	92	221026323.3
222	92	222026058
223	92	223027960.8
224	92	224027635.9
225	92	225029385.1
226	92	226029338.7
227	92	227031181.1
228	92	228031369
229	92	229033506
230	92	230033940.1
231	92	231036292.2
232	92	232037154.8
233	92	233039634.3
234	92	234040950.3
235	92	235043928.1
236	92	236045566.1
237	92	237048728.3
238	92	238050786.9
239	92	239054292
240	92	240056592.4
241	92	241060330
242	92	242062931
243	92	243067075
219	93	219031601.9
220	93	220032716.3
221	93	221032110
222	93	222033574.7
223	93	223032913.3
224	93	224034388
225	93	225033943.4
226	93	226035230.4
227	93	227034975
228	93	228036313
229	93	229036287.3
230	93	230037828.1
231	93	231038243.6
232	93	232040107
233	93	233040739.4
234	93	234042893.2
235	93	235044061.5
236	93	236046568.3
237	93	237048171.6
238	93	238050944.6
239	93	239052937.5
240	93	240056163.8
241	93	241058309.7
242	93	242061639.5
243	93	243064204
244	93	244067891
245	93	245070693
221	94	221038572
222	94	222037638
223	94	223038777
224	94	224037875
225	94	225038970
226	94	226038250
227	94	227039474
228	94	228038763.3
229	94	229040145.1
230	94	230039648.3
231	94	231041125.9
232	94	232041182.1
233	94	233042997.4
234	94	234043317.5
235	94	235045284.6
236	94	236046056.7
237	94	237048407.9
238	94	238049558.2
239	94	239052161.6
240	94	240053811.7
241	94	241056849.7
242	94	242058741
243	94	243062002.1
244	94	244064204.4
245	94	245067824.6
246	94	246070204.2
247	94	247074300
223	95	223045840
224	95	224046442
225	95	225045508
226	95	226046130
227	95	227045282
228	95	228046001
229	95	229045282.5
230	95	230046025
231	95	231045529
232	95	232046613
233	95	233046468
234	95	234047731
235	95	235047906.5
236	95	236049427
237	95	237049995
238	95	238051982.5
239	95	239053022.7
240	95	240055298.4
241	95	241056827.3
242	95	242059547.4
243	95	243061379.9
244	95	244064282.9
245	95	245066452.8
246	95	246069774
247	95	247072092
248	95	248075752
249	95	249078480
231	96	231050746
232	96	232049740
233	96	233050771.5
234	96	234050158.6
235	96	235051545
236	96	236051372.1
237	96	237052869
238	96	238053081.6
239	96	239054908.5
240	96	240055528.2
241	96	241057651.2
242	96	242058834.2
243	96	243061387.3
244	96	244062750.6
245	96	245065491
246	96	246067222
247	96	247070352.7
248	96	248072349.1
249	96	249075954
250	96	250078357.5
251	96	251082285
252	96	252084870
233	97	233056652
234	97	234057322
235	97	235056651
236	97	236057479
237	97	237057123
238	97	238058204
239	97	239058239
240	97	240059758
241	97	241060098
242	97	242061999
243	97	243063005.9
244	97	244065179
245	97	245066359.8
246	97	246068671.3
247	97	247070305.9
248	97	248073141.7
249	97	249074983.1
250	97	250078317.2
251	97	251080760.6
252	97	252084310
253	97	253086880
254	97	254090600
237	98	237062199.3
238	98	238061490
239	98	239062482
240	98	240062253.4
241	98	241063690
242	98	242063754.5
243	98	243065475
244	98	244065999.4
245	98	245068046.8
246	98	246068803.7
247	98	247070971.3
248	98	248072182.9
249	98	249074850.4
250	98	250076404.5
251	98	251079587.2
252	98	252081626.5
253	98	253085133.7
254	98	254087323.6
255	98	255091046
256	98	256093442
239	99	239068310
240	99	240068949
241	99	241068592
242	99	242069567
243	99	243069508
244	99	244070881
245	99	245071192
246	99	246072806.5
247	99	247073621.9
248	99	248075469
249	99	249076409
250	99	250078611
251	99	251079991.4
252	99	252082979.2
253	99	253084821.2
254	99	254088024.3
255	99	255090273.5
256	99	256093597
257	99	257095979
258	99	258099520
241	100	241074311
242	100	242073430
243	100	243074414
244	100	244074036
245	100	245075354
246	100	246075353.3
247	100	247076944
248	100	248077185.5
249	100	249078926
250	100	250079519.8
251	100	251081545.1
252	100	252082466
253	100	253085180.9
254	100	254086852.4
255	100	255089963.5
256	100	256091771.7
257	100	257095105.4
258	100	258097077
259	100	259100596
260	100	260102809
244	101	244081157
245	101	245080864
246	101	246081713
247	101	247081520
248	101	248082607
249	101	249082857.2
250	101	250084164.9
251	101	251084774.3
252	101	252086385
253	101	253087143
254	101	254089590
255	101	255091081.7
256	101	256093888
257	101	257095537.3
258	101	258098433.6
259	101	259100445
260	101	260103650
261	101	261105828
262	101	262109144
248	102	248086623
249	102	249087802
250	102	250087565
251	102	251088942
252	102	252088966.1
253	102	253090562.8
254	102	254090954.2
255	102	255093196.4
256	102	256094281.9
257	102	257096884.2
258	102	258098205
259	102	259100998.4
260	102	260102641
261	102	261105696
262	102	262107463
263	102	263110714
264	102	264112734
251	103	251094289
252	103	252095048
253	103	253095033.9
254	103	254096238.8
255	103	255096562.4
256	103	256098494
257	103	257099480
258	103	258101753
259	103	259102900
260	103	260105504
261	103	261106879
262	103	262109615
263	103	263111293
264	103	264114198
265	103	265116193
266	103	266119874
253	104	253100528
254	104	254100055
255	104	255101267
256	104	256101151.5
257	104	257102916.8
258	104	258103429.9
259	104	259105601
260	104	260106440
261	104	261108769.6
262	104	262109923
263	104	263112461
264	104	264113876
265	104	265116683
266	104	266118236
267	104	267121787
268	104	268123968
255	105	255106919
256	105	256107674
257	105	257107520
258	105	258108973
259	105	259109491.9
260	105	260111297
261	105	261111979
262	105	262114067
263	105	263114987
264	105	264117297
265	105	265118500
266	105	266121032
267	105	267122399
268	105	268125669
269	105	269127911
270	105	270131399
258	106	258113040
259	106	259114353
260	106	260114383.4
261	106	261115948.1
262	106	262116339
263	106	263118299
264	106	264118930
265	106	265121089
266	106	266121973
267	106	267124323
268	106	268125389
269	106	269128495
270	106	270130362
271	106	271133782
272	106	272135825
273	106	273139475
260	107	260121443
261	107	261121395.7
262	107	262122654.7
263	107	263122916
264	107	264124486
265	107	265124955
266	107	266126790
267	107	267127499
268	107	268129584
269	107	269130411
270	107	270133366
271	107	271135115
272	107	272138259
273	107	273140294
274	107	274143599
275	107	275145766
276	107	276149169
277	107	277151477
278	107	278154988
263	108	263128479
264	108	264128356.3
265	108	265129791.7
266	108	266130048.8
267	108	267131678
268	108	268132011
269	108	269133649
270	108	270134313
271	108	271137082
272	108	272138492
273	108	273141458
274	108	274143217
275	108	275146530
276	108	276148348
277	108	277151772
278	108	278153753
279	108	279157274
280	108	280159335
265	109	265135937
266	109	266137062.3
267	109	267137189
268	109	268138649
269	109	269138809
270	109	270140322
271	109	271140741
272	109	272143298
273	109	273144695
274	109	274147343
275	109	275148972
276	109	276151705
277	109	277153525
278	109	278156487
279	109	279158439
280	109	280161579
281	109	281163608
282	109	282166888
267	110	267143726
268	110	268143477
269	110	269144751
270	110	270144586.6
271	110	271145951
272	110	272146091
273	110	273148455
274	110	274149434
275	110	275152085
276	110	276153022
277	110	277155763
278	110	278157007
279	110	279159984
280	110	280161375
281	110	281164545
282	110	282166174
283	110	283169437
284	110	284171187
272	111	272153273
273	111	273153393
274	111	274155247
275	111	275156088
276	111	276158226
277	111	277159322
278	111	278161590
279	111	279162880
280	111	280165204
281	111	281166757
282	111	282169343
283	111	283171101
284	111	284173882
285	111	285175771
286	111	286178756
276	112	276161418
277	112	277163535
278	112	278164083
279	112	279166422
280	112	280167102
281	112	281169563
282	112	282170507
283	112	283173202
284	112	284174360
285	112	285177227
286	112	286178691
287	112	287181826
288	112	288183501
278	113	278170725
279	113	279171187
280	113	280173098
281	113	281173710
282	113	282175770
283	113	283176666
284	113	284178843
285	113	285180106
286	113	286182456
287	113	287184064
288	113	288186764
289	113	289188461
290	113	290191429
284	114	284181192
285	114	285183503
286	114	286184226
287	114	287186720
288	114	288187781
289	114	289190517
290	114	290191875
291	114	291194848
287	115	287190820
288	115	288192879
289	115	289193971
290	115	290196235
291	115	291197725
292	115	292200323
289	116	289198023
290	116	290198635
291	116	291201014
292	116	292201969
293	116	293204583
291	117	291205748
292	117	292207861
293	117	293208727
294	117	294210840
293	118	293213423
294	118	294213979
295	118	295216178
