 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Helium (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  1.3000E-04 g/cm3 = 1.9557E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.000E+01  1.814E+00   31.60 mm     1.50 mm     1.69 mm
   4.00 MeV   1.060E+01  1.735E+00   33.19 mm     1.54 mm     1.75 mm
   4.50 MeV   1.180E+01  1.599E+00   36.17 mm     1.64 mm     1.84 mm
   5.00 MeV   1.298E+01  1.485E+00   38.92 mm     1.72 mm     1.93 mm
   5.50 MeV   1.416E+01  1.388E+00   41.47 mm     1.78 mm     2.00 mm
   6.00 MeV   1.531E+01  1.304E+00   43.85 mm     1.84 mm     2.07 mm
   6.50 MeV   1.643E+01  1.230E+00   46.09 mm     1.88 mm     2.13 mm
   7.00 MeV   1.754E+01  1.166E+00   48.20 mm     1.92 mm     2.18 mm
   8.00 MeV   1.968E+01  1.057E+00   52.09 mm     2.03 mm     2.26 mm
   9.00 MeV   2.174E+01  9.682E-01   55.62 mm     2.11 mm     2.33 mm
  10.00 MeV   2.372E+01  8.946E-01   58.87 mm     2.18 mm     2.39 mm
  11.00 MeV   2.563E+01  8.325E-01   61.88 mm     2.24 mm     2.44 mm
  12.00 MeV   2.745E+01  7.791E-01   64.68 mm     2.28 mm     2.48 mm
  13.00 MeV   2.921E+01  7.328E-01   67.32 mm     2.32 mm     2.52 mm
  14.00 MeV   3.090E+01  6.922E-01   69.82 mm     2.36 mm     2.55 mm
  15.00 MeV   3.253E+01  6.563E-01   72.19 mm     2.39 mm     2.58 mm
  16.00 MeV   3.409E+01  6.242E-01   74.46 mm     2.42 mm     2.61 mm
  17.00 MeV   3.558E+01  5.954E-01   76.62 mm     2.44 mm     2.63 mm
  18.00 MeV   3.702E+01  5.694E-01   78.71 mm     2.47 mm     2.65 mm
  20.00 MeV   3.972E+01  5.241E-01   82.66 mm     2.54 mm     2.69 mm
  22.50 MeV   4.280E+01  4.775E-01   87.26 mm     2.63 mm     2.73 mm
  25.00 MeV   4.557E+01  4.391E-01   91.56 mm     2.71 mm     2.76 mm
  27.50 MeV   4.807E+01  4.069E-01   95.63 mm     2.77 mm     2.79 mm
  30.00 MeV   5.032E+01  3.795E-01   99.50 mm     2.83 mm     2.82 mm
  32.50 MeV   5.235E+01  3.557E-01  103.22 mm     2.89 mm     2.84 mm
  35.00 MeV   5.418E+01  3.350E-01  106.81 mm     2.93 mm     2.86 mm
  37.50 MeV   5.584E+01  3.168E-01  110.28 mm     2.98 mm     2.88 mm
  40.00 MeV   5.734E+01  3.006E-01  113.66 mm     3.02 mm     2.89 mm
  45.00 MeV   5.991E+01  2.730E-01  120.18 mm     3.16 mm     2.92 mm
  50.00 MeV   6.201E+01  2.504E-01  126.46 mm     3.29 mm     2.95 mm
  55.00 MeV   6.372E+01  2.315E-01  132.56 mm     3.40 mm     2.97 mm
  60.00 MeV   6.511E+01  2.154E-01  138.50 mm     3.51 mm     2.99 mm
  65.00 MeV   6.623E+01  2.016E-01  144.34 mm     3.61 mm     3.01 mm
  70.00 MeV   6.713E+01  1.895E-01  150.09 mm     3.70 mm     3.02 mm
  80.00 MeV   6.842E+01  1.695E-01  161.41 mm     4.04 mm     3.05 mm
  90.00 MeV   6.917E+01  1.536E-01  172.56 mm     4.34 mm     3.08 mm
 100.00 MeV   6.955E+01  1.406E-01  183.62 mm     4.61 mm     3.10 mm
 110.00 MeV   6.967E+01  1.297E-01  194.65 mm     4.87 mm     3.13 mm
 120.00 MeV   6.959E+01  1.205E-01  205.68 mm     5.12 mm     3.15 mm
 130.00 MeV   6.937E+01  1.126E-01  216.73 mm     5.35 mm     3.17 mm
 140.00 MeV   6.904E+01  1.057E-01  227.83 mm     5.58 mm     3.19 mm
 150.00 MeV   6.865E+01  9.971E-02  238.99 mm     5.80 mm     3.21 mm
 160.00 MeV   6.820E+01  9.437E-02  250.21 mm     6.01 mm     3.22 mm
 170.00 MeV   6.772E+01  8.961E-02  261.52 mm     6.23 mm     3.24 mm
 180.00 MeV   6.758E+01  8.533E-02  272.87 mm     6.43 mm     3.26 mm
 200.00 MeV   6.670E+01  7.797E-02  295.76 mm     7.20 mm     3.29 mm
 225.00 MeV   6.534E+01  7.046E-02  324.86 mm     8.30 mm     3.33 mm
 250.00 MeV   6.417E+01  6.435E-02  354.54 mm     9.30 mm     3.37 mm
 275.00 MeV   6.303E+01  5.926E-02  384.75 mm    10.24 mm     3.41 mm
 300.00 MeV   6.192E+01  5.496E-02  415.51 mm    11.12 mm     3.45 mm
 325.00 MeV   6.086E+01  5.128E-02  446.81 mm    11.97 mm     3.49 mm
