 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  65.00 MeV   7.677E+01  2.853E-01   92.68 mm     2.55 mm     2.42 mm
  70.00 MeV   7.716E+01  2.685E-01   96.75 mm     2.62 mm     2.44 mm
  80.00 MeV   7.746E+01  2.405E-01  104.86 mm     2.87 mm     2.47 mm
  90.00 MeV   7.729E+01  2.182E-01  112.97 mm     3.09 mm     2.50 mm
 100.00 MeV   7.683E+01  1.999E-01  121.11 mm     3.30 mm     2.53 mm
 110.00 MeV   7.617E+01  1.846E-01  129.32 mm     3.51 mm     2.56 mm
 120.00 MeV   7.541E+01  1.717E-01  137.60 mm     3.70 mm     2.59 mm
 130.00 MeV   7.457E+01  1.605E-01  145.97 mm     3.89 mm     2.61 mm
 140.00 MeV   7.371E+01  1.508E-01  154.44 mm     4.07 mm     2.64 mm
 150.00 MeV   7.284E+01  1.423E-01  163.02 mm     4.25 mm     2.66 mm
 160.00 MeV   7.197E+01  1.348E-01  171.69 mm     4.43 mm     2.69 mm
 170.00 MeV   7.112E+01  1.280E-01  180.47 mm     4.60 mm     2.71 mm
 180.00 MeV   7.053E+01  1.220E-01  189.34 mm     4.77 mm     2.74 mm
 200.00 MeV   6.873E+01  1.116E-01  207.39 mm     5.42 mm     2.78 mm
 225.00 MeV   6.689E+01  1.009E-01  230.56 mm     6.33 mm     2.84 mm
 250.00 MeV   6.555E+01  9.223E-02  254.29 mm     7.17 mm     2.90 mm
 275.00 MeV   6.433E+01  8.500E-02  278.49 mm     7.95 mm     2.96 mm
 300.00 MeV   6.321E+01  7.889E-02  303.13 mm     8.68 mm     3.02 mm
 325.00 MeV   6.216E+01  7.364E-02  328.20 mm     9.38 mm     3.08 mm
 350.00 MeV   6.119E+01  6.909E-02  353.68 mm    10.06 mm     3.14 mm
 375.00 MeV   6.027E+01  6.510E-02  379.56 mm    10.70 mm     3.20 mm
