 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.422E+01  2.423E+00   17.55 mm     1.06 mm     1.19 mm
   4.00 MeV   1.481E+01  2.323E+00   18.48 mm     1.09 mm     1.23 mm
   4.50 MeV   1.595E+01  2.149E+00   20.25 mm     1.16 mm     1.31 mm
   5.00 MeV   1.705E+01  2.002E+00   21.93 mm     1.21 mm     1.38 mm
   5.50 MeV   1.815E+01  1.876E+00   23.54 mm     1.26 mm     1.44 mm
   6.00 MeV   1.924E+01  1.767E+00   25.06 mm     1.30 mm     1.49 mm
   6.50 MeV   2.033E+01  1.671E+00   26.52 mm     1.34 mm     1.54 mm
   7.00 MeV   2.143E+01  1.587E+00   27.91 mm     1.37 mm     1.59 mm
   8.00 MeV   2.365E+01  1.443E+00   30.51 mm     1.45 mm     1.67 mm
   9.00 MeV   2.591E+01  1.326E+00   32.91 mm     1.52 mm     1.74 mm
  10.00 MeV   2.821E+01  1.228E+00   35.12 mm     1.57 mm     1.79 mm
  11.00 MeV   3.051E+01  1.145E+00   37.18 mm     1.61 mm     1.84 mm
  12.00 MeV   3.280E+01  1.074E+00   39.09 mm     1.65 mm     1.89 mm
  13.00 MeV   3.507E+01  1.012E+00   40.89 mm     1.68 mm     1.92 mm
  14.00 MeV   3.729E+01  9.572E-01   42.58 mm     1.71 mm     1.96 mm
  15.00 MeV   3.946E+01  9.087E-01   44.17 mm     1.73 mm     1.98 mm
  16.00 MeV   4.156E+01  8.654E-01   45.69 mm     1.75 mm     2.01 mm
  17.00 MeV   4.359E+01  8.264E-01   47.14 mm     1.77 mm     2.03 mm
  18.00 MeV   4.553E+01  7.911E-01   48.52 mm     1.79 mm     2.06 mm
