 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Silicon (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   8.026E+02  3.258E+01    3.82 um     3182 A      3832 A
  11.00 MeV   8.419E+02  3.037E+01    4.05 um     3244 A      3939 A
  12.00 MeV   8.775E+02  2.846E+01    4.28 um     3300 A      4035 A
  13.00 MeV   9.099E+02  2.681E+01    4.49 um     3350 A      4123 A
  14.00 MeV   9.397E+02  2.535E+01    4.70 um     3395 A      4202 A
  15.00 MeV   9.671E+02  2.406E+01    4.90 um     3437 A      4276 A
  16.00 MeV   9.925E+02  2.291E+01    5.10 um     3475 A      4345 A
  17.00 MeV   1.016E+03  2.187E+01    5.30 um     3510 A      4408 A
  18.00 MeV   1.038E+03  2.093E+01    5.49 um     3544 A      4468 A
  20.00 MeV   1.078E+03  1.930E+01    5.86 um     3623 A      4578 A
  22.50 MeV   1.122E+03  1.761E+01    6.31 um     3722 A      4700 A
  25.00 MeV   1.161E+03  1.622E+01    6.74 um     3809 A      4808 A
  27.50 MeV   1.196E+03  1.505E+01    7.16 um     3889 A      4906 A
  30.00 MeV   1.228E+03  1.404E+01    7.56 um     3962 A      4996 A
  32.50 MeV   1.257E+03  1.318E+01    7.96 um     4029 A      5078 A
  35.00 MeV   1.285E+03  1.242E+01    8.35 um     4092 A      5155 A
  37.50 MeV   1.311E+03  1.176E+01    8.74 um     4150 A      5226 A
  40.00 MeV   1.336E+03  1.116E+01    9.11 um     4205 A      5293 A
  45.00 MeV   1.383E+03  1.015E+01    9.84 um     4368 A      5416 A
  50.00 MeV   1.428E+03  9.319E+00   10.55 um     4514 A      5527 A
  55.00 MeV   1.471E+03  8.623E+00   11.24 um     4646 A      5627 A
  60.00 MeV   1.513E+03  8.031E+00   11.91 um     4766 A      5719 A
  65.00 MeV   1.552E+03  7.521E+00   12.56 um     4877 A      5804 A
  70.00 MeV   1.589E+03  7.076E+00   13.19 um     4980 A      5883 A
  80.00 MeV   1.657E+03  6.337E+00   14.42 um     5311 A      6025 A
  90.00 MeV   1.716E+03  5.747E+00   15.61 um     5598 A      6152 A
 100.00 MeV   1.768E+03  5.265E+00   16.76 um     5854 A      6266 A
 110.00 MeV   1.813E+03  4.861E+00   17.88 um     6086 A      6370 A
 120.00 MeV   1.851E+03  4.520E+00   18.97 um     6299 A      6466 A
 130.00 MeV   1.883E+03  4.226E+00   20.04 um     6497 A      6555 A
