 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Aluminum.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   7.029E+02  2.929E+01    3.84 um     3006 A      3668 A
  12.00 MeV   7.409E+02  2.745E+01    4.06 um     3064 A      3768 A
  13.00 MeV   7.774E+02  2.586E+01    4.27 um     3116 A      3858 A
  14.00 MeV   8.126E+02  2.445E+01    4.47 um     3161 A      3940 A
  15.00 MeV   8.464E+02  2.321E+01    4.66 um     3203 A      4015 A
  16.00 MeV   8.789E+02  2.209E+01    4.85 um     3240 A      4083 A
  17.00 MeV   9.100E+02  2.109E+01    5.03 um     3274 A      4146 A
  18.00 MeV   9.398E+02  2.019E+01    5.20 um     3305 A      4204 A
  20.00 MeV   9.956E+02  1.861E+01    5.53 um     3377 A      4309 A
  22.50 MeV   1.059E+03  1.698E+01    5.93 um     3463 A      4422 A
  25.00 MeV   1.115E+03  1.564E+01    6.30 um     3537 A      4521 A
  27.50 MeV   1.165E+03  1.450E+01    6.66 um     3601 A      4608 A
  30.00 MeV   1.210E+03  1.354E+01    7.00 um     3659 A      4685 A
  32.50 MeV   1.251E+03  1.271E+01    7.34 um     3712 A      4755 A
  35.00 MeV   1.287E+03  1.198E+01    7.66 um     3760 A      4820 A
  37.50 MeV   1.320E+03  1.133E+01    7.97 um     3804 A      4879 A
  40.00 MeV   1.351E+03  1.076E+01    8.28 um     3845 A      4933 A
  45.00 MeV   1.404E+03  9.783E+00    8.88 um     3966 A      5032 A
  50.00 MeV   1.450E+03  8.982E+00    9.45 um     4074 A      5119 A
  55.00 MeV   1.490E+03  8.311E+00   10.01 um     4172 A      5198 A
  60.00 MeV   1.525E+03  7.740E+00   10.56 um     4262 A      5270 A
  65.00 MeV   1.556E+03  7.248E+00   11.09 um     4346 A      5336 A
  70.00 MeV   1.583E+03  6.819E+00   11.62 um     4425 A      5398 A
  80.00 MeV   1.630E+03  6.107E+00   12.64 um     4685 A      5509 A
  90.00 MeV   1.668E+03  5.538E+00   13.64 um     4917 A      5608 A
 100.00 MeV   1.699E+03  5.073E+00   14.63 um     5130 A      5699 A
 110.00 MeV   1.725E+03  4.684E+00   15.59 um     5327 A      5782 A
 120.00 MeV   1.746E+03  4.355E+00   16.54 um     5511 A      5860 A
 130.00 MeV   1.764E+03  4.071E+00   17.48 um     5685 A      5933 A
 140.00 MeV   1.779E+03  3.825E+00   18.42 um     5850 A      6002 A
 150.00 MeV   1.791E+03  3.609E+00   19.34 um     6008 A      6068 A
 160.00 MeV   1.801E+03  3.417E+00   20.27 um     6160 A      6131 A
 170.00 MeV   1.807E+03  3.246E+00   21.18 um     6306 A      6191 A
 180.00 MeV   1.804E+03  3.092E+00   22.10 um     6449 A      6250 A
 200.00 MeV   1.797E+03  2.827E+00   23.94 um     6973 A      6362 A
 225.00 MeV   1.792E+03  2.557E+00   26.24 um     7720 A      6496 A
 250.00 MeV   1.782E+03  2.336E+00   28.56 um     8405 A      6623 A
 275.00 MeV   1.769E+03  2.153E+00   30.89 um     9046 A      6746 A
 300.00 MeV   1.753E+03  1.998E+00   33.24 um     9654 A      6866 A
 325.00 MeV   1.736E+03  1.864E+00   35.61 um     1.02 um     6983 A
 350.00 MeV   1.718E+03  1.749E+00   38.01 um     1.08 um     7098 A
 375.00 MeV   1.698E+03  1.648E+00   40.44 um     1.13 um     7212 A
 400.00 MeV   1.677E+03  1.558E+00   42.89 um     1.19 um     7324 A
 450.00 MeV   1.635E+03  1.407E+00   47.89 um     1.38 um     7549 A
 500.00 MeV   1.592E+03  1.284E+00   53.03 um     1.57 um     7773 A
 550.00 MeV   1.550E+03  1.182E+00   58.30 um     1.74 um     7998 A
 600.00 MeV   1.508E+03  1.095E+00   63.72 um     1.90 um     8226 A
 650.00 MeV   1.467E+03  1.021E+00   69.29 um     2.06 um     8457 A
 700.00 MeV   1.427E+03  9.571E-01   75.02 um     2.21 um     8692 A
 800.00 MeV   1.351E+03  8.513E-01   86.96 um     2.79 um     9177 A
 900.00 MeV   1.282E+03  7.676E-01   99.55 um     3.31 um     9684 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  6.0305E-01                 eV / Angstrom
  6.0305E+00                keV / micron
  6.0305E+00                MeV / mm
  2.2319E-02                keV / (ug/cm2)
  2.2319E-02                MeV / (mg/cm2)
  2.2319E+01                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.3781E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
