 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Hy (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  8.2650E-07 g/cm3 = 4.9377E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   4.256E+01  1.051E+01    1.37 m     50.07 mm    40.55 mm
   3.25 MeV   4.451E+01  1.001E+01    1.46 m     52.49 mm    42.48 mm
   3.50 MeV   4.643E+01  9.554E+00    1.55 m     54.69 mm    44.29 mm
   3.75 MeV   4.833E+01  9.147E+00    1.64 m     56.70 mm    46.00 mm
   4.00 MeV   5.023E+01  8.778E+00    1.73 m     58.55 mm    47.60 mm
   4.50 MeV   5.412E+01  8.133E+00    1.89 m     64.03 mm    50.54 mm
   5.00 MeV   5.819E+01  7.587E+00    2.05 m     68.59 mm    53.15 mm
   5.50 MeV   6.249E+01  7.119E+00    2.20 m     72.43 mm    55.49 mm
   6.00 MeV   6.705E+01  6.712E+00    2.34 m     75.70 mm    57.58 mm
   6.50 MeV   7.189E+01  6.354E+00    2.48 m     78.51 mm    59.44 mm
   7.00 MeV   7.697E+01  6.037E+00    2.60 m     80.92 mm    61.12 mm
   8.00 MeV   8.785E+01  5.499E+00    2.83 m     87.87 mm    63.96 mm
   9.00 MeV   9.946E+01  5.059E+00    3.04 m     93.04 mm    66.26 mm
  10.00 MeV   1.116E+02  4.691E+00    3.22 m     97.00 mm    68.15 mm
  11.00 MeV   1.240E+02  4.378E+00    3.38 m    100.11 mm    69.72 mm
  12.00 MeV   1.364E+02  4.108E+00    3.53 m    102.62 mm    71.03 mm
  13.00 MeV   1.487E+02  3.873E+00    3.67 m    104.68 mm    72.15 mm
  14.00 MeV   1.607E+02  3.667E+00    3.80 m    106.42 mm    73.11 mm
  15.00 MeV   1.724E+02  3.483E+00    3.92 m    107.90 mm    73.94 mm
  16.00 MeV   1.836E+02  3.318E+00    4.03 m    109.18 mm    74.67 mm
  17.00 MeV   1.944E+02  3.170E+00    4.14 m    110.31 mm    75.32 mm
  18.00 MeV   2.046E+02  3.036E+00    4.24 m    111.31 mm    75.90 mm
  20.00 MeV   2.236E+02  2.802E+00    4.42 m    114.57 mm    76.89 mm
  22.50 MeV   2.445E+02  2.560E+00    4.64 m    118.66 mm    77.91 mm
  25.00 MeV   2.625E+02  2.360E+00    4.83 m    122.04 mm    78.74 mm
  27.50 MeV   2.779E+02  2.192E+00    5.02 m    124.94 mm    79.45 mm
  30.00 MeV   2.911E+02  2.048E+00    5.20 m    127.50 mm    80.05 mm
  32.50 MeV   3.023E+02  1.923E+00    5.37 m    129.81 mm    80.59 mm
  35.00 MeV   3.118E+02  1.814E+00    5.53 m    131.93 mm    81.07 mm
  37.50 MeV   3.198E+02  1.717E+00    5.69 m    133.90 mm    81.50 mm
  40.00 MeV   3.266E+02  1.631E+00    5.84 m    135.75 mm    81.89 mm
  45.00 MeV   3.368E+02  1.485E+00    6.15 m    142.47 mm    82.59 mm
  50.00 MeV   3.435E+02  1.364E+00    6.44 m    148.58 mm    83.21 mm
  55.00 MeV   3.475E+02  1.264E+00    6.74 m    154.27 mm    83.76 mm
  60.00 MeV   3.495E+02  1.178E+00    7.03 m    159.67 mm    84.26 mm
  65.00 MeV   3.498E+02  1.103E+00    7.32 m    164.85 mm    84.72 mm
  70.00 MeV   3.489E+02  1.039E+00    7.60 m    169.88 mm    85.16 mm
  80.00 MeV   3.444E+02  9.310E-01    8.19 m    188.88 mm    85.97 mm
  90.00 MeV   3.376E+02  8.449E-01    8.78 m    206.68 mm    86.72 mm
