 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Carbon (gas).txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   2.562E+01  8.892E-01    3.08 um     1531 A      1840 A
  12.00 MeV   2.710E+01  8.334E-01    3.24 um     1564 A      1883 A
  13.00 MeV   2.846E+01  7.848E-01    3.40 um     1593 A      1922 A
  14.00 MeV   2.972E+01  7.420E-01    3.55 um     1618 A      1957 A
  15.00 MeV   3.088E+01  7.042E-01    3.69 um     1642 A      1989 A
  16.00 MeV   3.196E+01  6.703E-01    3.83 um     1663 A      2018 A
  17.00 MeV   3.296E+01  6.399E-01    3.96 um     1682 A      2045 A
  18.00 MeV   3.388E+01  6.124E-01    4.09 um     1700 A      2070 A
  20.00 MeV   3.553E+01  5.645E-01    4.34 um     1751 A      2115 A
  22.50 MeV   3.729E+01  5.150E-01    4.64 um     1816 A      2164 A
  25.00 MeV   3.877E+01  4.741E-01    4.93 um     1873 A      2206 A
  27.50 MeV   4.002E+01  4.398E-01    5.21 um     1925 A      2245 A
  30.00 MeV   4.110E+01  4.105E-01    5.48 um     1972 A      2279 A
  32.50 MeV   4.203E+01  3.852E-01    5.74 um     2015 A      2311 A
  35.00 MeV   4.284E+01  3.630E-01    6.00 um     2056 A      2340 A
  37.50 MeV   4.357E+01  3.435E-01    6.26 um     2094 A      2367 A
  40.00 MeV   4.422E+01  3.261E-01    6.51 um     2130 A      2393 A
  45.00 MeV   4.537E+01  2.965E-01    7.00 um     2252 A      2440 A
  50.00 MeV   4.637E+01  2.722E-01    7.48 um     2362 A      2482 A
  55.00 MeV   4.728E+01  2.518E-01    7.95 um     2462 A      2521 A
  60.00 MeV   4.812E+01  2.345E-01    8.41 um     2555 A      2556 A
  65.00 MeV   4.890E+01  2.196E-01    8.87 um     2642 A      2589 A
  70.00 MeV   4.963E+01  2.066E-01    9.32 um     2723 A      2621 A
  80.00 MeV   5.093E+01  1.850E-01   10.19 um     3003 A      2678 A
  90.00 MeV   5.205E+01  1.678E-01   11.05 um     3248 A      2729 A
