 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C (gas).txt

 Ion = Strontium [38] , Mass = 88.90745 amu

 Target Density =  1.9100E-04 g/cm3 = 2.7705E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.457E+01  2.702E+00   13.52 mm   822.85 um   913.13 um
   4.00 MeV   1.517E+01  2.592E+00   14.26 mm   846.86 um   946.71 um
   4.50 MeV   1.640E+01  2.400E+00   15.68 mm   900.69 um     1.01 mm
   5.00 MeV   1.767E+01  2.238E+00   17.03 mm   946.43 um     1.06 mm
   5.50 MeV   1.898E+01  2.099E+00   18.30 mm   985.66 um     1.11 mm
   6.00 MeV   2.030E+01  1.979E+00   19.50 mm     1.02 mm     1.16 mm
   6.50 MeV   2.164E+01  1.873E+00   20.64 mm     1.05 mm     1.20 mm
   7.00 MeV   2.300E+01  1.779E+00   21.71 mm     1.08 mm     1.23 mm
   8.00 MeV   2.572E+01  1.619E+00   23.72 mm     1.14 mm     1.29 mm
   9.00 MeV   2.841E+01  1.489E+00   25.54 mm     1.18 mm     1.35 mm
  10.00 MeV   3.105E+01  1.380E+00   27.21 mm     1.22 mm     1.39 mm
  11.00 MeV   3.361E+01  1.288E+00   28.76 mm     1.26 mm     1.43 mm
  12.00 MeV   3.607E+01  1.208E+00   30.21 mm     1.28 mm     1.46 mm
  13.00 MeV   3.841E+01  1.139E+00   31.57 mm     1.31 mm     1.49 mm
  14.00 MeV   4.063E+01  1.078E+00   32.86 mm     1.33 mm     1.51 mm
  15.00 MeV   4.273E+01  1.024E+00   34.08 mm     1.35 mm     1.54 mm
  16.00 MeV   4.470E+01  9.752E-01   35.25 mm     1.36 mm     1.56 mm
