 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Helium (gas).txt

 Ion = Strontium [38] , Mass = 88.90745 amu

 Target Density =  1.3560E-04 g/cm3 = 2.0399E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.016E+01  2.029E+00   28.01 mm     1.33 mm     1.48 mm
   4.00 MeV   1.076E+01  1.942E+00   29.48 mm     1.37 mm     1.53 mm
   4.50 MeV   1.202E+01  1.791E+00   32.25 mm     1.46 mm     1.63 mm
   5.00 MeV   1.333E+01  1.665E+00   34.80 mm     1.54 mm     1.71 mm
   5.50 MeV   1.468E+01  1.557E+00   37.16 mm     1.60 mm     1.78 mm
   6.00 MeV   1.603E+01  1.463E+00   39.33 mm     1.65 mm     1.84 mm
   6.50 MeV   1.738E+01  1.382E+00   41.36 mm     1.70 mm     1.89 mm
   7.00 MeV   1.872E+01  1.310E+00   43.26 mm     1.73 mm     1.94 mm
   8.00 MeV   2.133E+01  1.188E+00   46.72 mm     1.83 mm     2.01 mm
   9.00 MeV   2.380E+01  1.090E+00   49.82 mm     1.90 mm     2.08 mm
  10.00 MeV   2.611E+01  1.007E+00   52.65 mm     1.96 mm     2.13 mm
  11.00 MeV   2.825E+01  9.378E-01   55.27 mm     2.01 mm     2.17 mm
  12.00 MeV   3.024E+01  8.782E-01   57.71 mm     2.05 mm     2.21 mm
  13.00 MeV   3.207E+01  8.263E-01   60.01 mm     2.08 mm     2.24 mm
  14.00 MeV   3.376E+01  7.808E-01   62.19 mm     2.11 mm     2.27 mm
  15.00 MeV   3.532E+01  7.405E-01   64.28 mm     2.14 mm     2.30 mm
  16.00 MeV   3.676E+01  7.045E-01   66.28 mm     2.16 mm     2.32 mm
  17.00 MeV   3.810E+01  6.722E-01   68.22 mm     2.19 mm     2.34 mm
  18.00 MeV   3.935E+01  6.430E-01   70.09 mm     2.21 mm     2.36 mm
  20.00 MeV   4.162E+01  5.922E-01   73.67 mm     2.27 mm     2.40 mm
  22.50 MeV   4.410E+01  5.398E-01   77.91 mm     2.36 mm     2.43 mm
  25.00 MeV   4.628E+01  4.966E-01   81.94 mm     2.44 mm     2.47 mm
  27.50 MeV   4.823E+01  4.603E-01   85.80 mm     2.50 mm     2.49 mm
  30.00 MeV   5.000E+01  4.294E-01   89.52 mm     2.56 mm     2.52 mm
  32.50 MeV   5.163E+01  4.027E-01   93.12 mm     2.62 mm     2.54 mm
  35.00 MeV   5.314E+01  3.794E-01   96.61 mm     2.67 mm     2.56 mm
  37.50 MeV   5.455E+01  3.588E-01  100.01 mm     2.71 mm     2.58 mm
  40.00 MeV   5.587E+01  3.405E-01  103.33 mm     2.76 mm     2.59 mm
  45.00 MeV   5.829E+01  3.094E-01  109.75 mm     2.91 mm     2.62 mm
  50.00 MeV   6.044E+01  2.838E-01  115.92 mm     3.04 mm     2.65 mm
  55.00 MeV   6.236E+01  2.625E-01  121.90 mm     3.16 mm     2.67 mm
  60.00 MeV   6.409E+01  2.443E-01  127.71 mm     3.27 mm     2.69 mm
  65.00 MeV   6.563E+01  2.287E-01  133.37 mm     3.37 mm     2.71 mm
  70.00 MeV   6.701E+01  2.151E-01  138.91 mm     3.46 mm     2.73 mm
  80.00 MeV   6.933E+01  1.924E-01  149.69 mm     3.78 mm     2.76 mm
  90.00 MeV   7.115E+01  1.744E-01  160.16 mm     4.07 mm     2.79 mm
 100.00 MeV   7.256E+01  1.597E-01  170.40 mm     4.32 mm     2.81 mm
 110.00 MeV   7.363E+01  1.474E-01  180.46 mm     4.55 mm     2.83 mm
 120.00 MeV   7.440E+01  1.369E-01  190.40 mm     4.76 mm     2.86 mm
 130.00 MeV   7.494E+01  1.280E-01  200.26 mm     4.97 mm     2.87 mm
 140.00 MeV   7.528E+01  1.202E-01  210.06 mm     5.16 mm     2.89 mm
 150.00 MeV   7.546E+01  1.134E-01  219.83 mm     5.34 mm     2.91 mm
 160.00 MeV   7.550E+01  1.073E-01  229.58 mm     5.52 mm     2.93 mm
 170.00 MeV   7.543E+01  1.019E-01  239.34 mm     5.69 mm     2.94 mm
 180.00 MeV   7.538E+01  9.705E-02  249.11 mm     5.86 mm     2.96 mm
 200.00 MeV   7.537E+01  8.869E-02  268.65 mm     6.48 mm     2.99 mm
 225.00 MeV   7.425E+01  8.017E-02  293.27 mm     7.36 mm     3.03 mm
 250.00 MeV   7.325E+01  7.323E-02  318.25 mm     8.16 mm     3.06 mm
 275.00 MeV   7.212E+01  6.745E-02  343.59 mm     8.92 mm     3.10 mm
 300.00 MeV   7.092E+01  6.257E-02  369.35 mm     9.63 mm     3.13 mm
 325.00 MeV   6.969E+01  5.838E-02  395.56 mm    10.32 mm     3.16 mm
 350.00 MeV   6.844E+01  5.475E-02  422.23 mm    10.99 mm     3.20 mm
 375.00 MeV   6.721E+01  5.157E-02  449.40 mm    11.65 mm     3.23 mm
 400.00 MeV   6.599E+01  4.876E-02  477.06 mm    12.29 mm     3.26 mm
 450.00 MeV   6.364E+01  4.401E-02  533.94 mm    14.69 mm     3.33 mm
 500.00 MeV   6.140E+01  4.014E-02  592.90 mm    16.89 mm     3.40 mm
 550.00 MeV   5.928E+01  3.693E-02  654.00 mm    18.98 mm     3.47 mm
 600.00 MeV   5.727E+01  3.422E-02  717.27 mm    20.98 mm     3.55 mm
 650.00 MeV   5.537E+01  3.190E-02  782.73 mm    22.93 mm     3.62 mm
 700.00 MeV   5.357E+01  2.989E-02  850.41 mm    24.85 mm     3.70 mm
 800.00 MeV   5.025E+01  2.658E-02  992.53 mm    31.97 mm     3.87 mm
 900.00 MeV   4.723E+01  2.396E-02    1.14 m     38.48 mm     4.05 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3560E-03                 eV / Angstrom
  1.3560E-02                keV / micron
  1.3560E-02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  6.6471E+00                 eV / (1E15 atoms/cm2)
  3.8782E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
