 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3000E-04 g/cm3 = 1.8857E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.457E+01  2.702E+00   19.87 mm     1.21 mm     1.34 mm
   4.00 MeV   1.517E+01  2.592E+00   20.96 mm     1.24 mm     1.39 mm
   4.50 MeV   1.640E+01  2.400E+00   23.04 mm     1.32 mm     1.48 mm
   5.00 MeV   1.767E+01  2.238E+00   25.02 mm     1.39 mm     1.56 mm
   5.50 MeV   1.898E+01  2.099E+00   26.88 mm     1.45 mm     1.63 mm
   6.00 MeV   2.030E+01  1.979E+00   28.65 mm     1.50 mm     1.70 mm
   6.50 MeV   2.164E+01  1.873E+00   30.32 mm     1.54 mm     1.76 mm
   7.00 MeV   2.300E+01  1.779E+00   31.90 mm     1.58 mm     1.81 mm
   8.00 MeV   2.572E+01  1.619E+00   34.84 mm     1.67 mm     1.90 mm
   9.00 MeV   2.841E+01  1.489E+00   37.52 mm     1.74 mm     1.98 mm
  10.00 MeV   3.105E+01  1.380E+00   39.98 mm     1.80 mm     2.04 mm
  11.00 MeV   3.361E+01  1.288E+00   42.26 mm     1.84 mm     2.10 mm
  12.00 MeV   3.607E+01  1.208E+00   44.39 mm     1.88 mm     2.14 mm
  13.00 MeV   3.841E+01  1.139E+00   46.38 mm     1.92 mm     2.19 mm
  14.00 MeV   4.063E+01  1.078E+00   48.27 mm     1.95 mm     2.22 mm
  15.00 MeV   4.273E+01  1.024E+00   50.07 mm     1.98 mm     2.26 mm
  16.00 MeV   4.470E+01  9.752E-01   51.79 mm     2.00 mm     2.29 mm
  17.00 MeV   4.655E+01  9.316E-01   53.43 mm     2.02 mm     2.31 mm
  18.00 MeV   4.828E+01  8.920E-01   55.02 mm     2.04 mm     2.34 mm
  20.00 MeV   5.142E+01  8.231E-01   58.05 mm     2.10 mm     2.38 mm
  22.50 MeV   5.480E+01  7.519E-01   61.61 mm     2.17 mm     2.43 mm
  25.00 MeV   5.766E+01  6.930E-01   64.99 mm     2.23 mm     2.47 mm
  27.50 MeV   6.012E+01  6.433E-01   68.21 mm     2.29 mm     2.50 mm
  30.00 MeV   6.224E+01  6.009E-01   71.32 mm     2.34 mm     2.53 mm
  32.50 MeV   6.408E+01  5.642E-01   74.33 mm     2.38 mm     2.56 mm
  35.00 MeV   6.569E+01  5.321E-01   77.27 mm     2.43 mm     2.59 mm
  37.50 MeV   6.712E+01  5.038E-01   80.14 mm     2.46 mm     2.61 mm
  40.00 MeV   6.840E+01  4.785E-01   82.96 mm     2.50 mm     2.63 mm
  45.00 MeV   7.059E+01  4.355E-01   88.45 mm     2.63 mm     2.67 mm
  50.00 MeV   7.241E+01  4.001E-01   93.80 mm     2.74 mm     2.71 mm
  55.00 MeV   7.394E+01  3.704E-01   99.02 mm     2.85 mm     2.74 mm
  60.00 MeV   7.525E+01  3.452E-01  104.15 mm     2.94 mm     2.77 mm
  65.00 MeV   7.636E+01  3.234E-01  109.20 mm     3.03 mm     2.79 mm
  70.00 MeV   7.731E+01  3.044E-01  114.18 mm     3.12 mm     2.82 mm
  80.00 MeV   7.879E+01  2.728E-01  124.00 mm     3.42 mm     2.86 mm
  90.00 MeV   7.981E+01  2.475E-01  133.66 mm     3.69 mm     2.90 mm
 100.00 MeV   8.045E+01  2.269E-01  143.23 mm     3.93 mm     2.94 mm
 110.00 MeV   8.080E+01  2.096E-01  152.75 mm     4.16 mm     2.98 mm
 120.00 MeV   8.091E+01  1.949E-01  162.23 mm     4.38 mm     3.01 mm
 130.00 MeV   8.084E+01  1.823E-01  171.72 mm     4.58 mm     3.04 mm
 140.00 MeV   8.063E+01  1.713E-01  181.23 mm     4.78 mm     3.07 mm
