 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Helium (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  5.6504E-06 g/cm3 = 8.5003E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   6.184E+01  1.175E+01  652.69 mm    32.51 mm    36.84 mm
   3.50 MeV   6.608E+01  1.117E+01  691.48 mm    33.60 mm    38.30 mm
   3.75 MeV   7.040E+01  1.065E+01  728.45 mm    34.57 mm    39.64 mm
   4.00 MeV   7.479E+01  1.018E+01  763.71 mm    35.44 mm    40.86 mm
   4.50 MeV   8.366E+01  9.370E+00  829.53 mm    37.49 mm    43.01 mm
   5.00 MeV   9.255E+01  8.692E+00  889.86 mm    39.14 mm    44.84 mm
   5.50 MeV   1.014E+02  8.115E+00  945.49 mm    40.50 mm    46.40 mm
   6.00 MeV   1.100E+02  7.617E+00  997.13 mm    41.64 mm    47.75 mm
   6.50 MeV   1.184E+02  7.184E+00    1.05 m     42.60 mm    48.93 mm
   7.00 MeV   1.266E+02  6.802E+00    1.09 m     43.44 mm    49.97 mm
   8.00 MeV   1.422E+02  6.158E+00    1.17 m     45.57 mm    51.73 mm
   9.00 MeV   1.566E+02  5.637E+00    1.25 m     47.25 mm    53.15 mm
  10.00 MeV   1.699E+02  5.204E+00    1.32 m     48.62 mm    54.34 mm
  11.00 MeV   1.821E+02  4.839E+00    1.38 m     49.77 mm    55.35 mm
  12.00 MeV   1.935E+02  4.526E+00    1.45 m     50.76 mm    56.23 mm
  13.00 MeV   2.040E+02  4.255E+00    1.50 m     51.62 mm    56.99 mm
  14.00 MeV   2.138E+02  4.017E+00    1.56 m     52.39 mm    57.67 mm
  15.00 MeV   2.229E+02  3.807E+00    1.61 m     53.08 mm    58.28 mm
  16.00 MeV   2.315E+02  3.619E+00    1.66 m     53.71 mm    58.83 mm
  17.00 MeV   2.396E+02  3.451E+00    1.71 m     54.28 mm    59.34 mm
  18.00 MeV   2.473E+02  3.299E+00    1.76 m     54.81 mm    59.80 mm
  20.00 MeV   2.615E+02  3.035E+00    1.85 m     56.51 mm    60.61 mm
  22.50 MeV   2.775E+02  2.763E+00    1.96 m     58.73 mm    61.48 mm
  25.00 MeV   2.921E+02  2.539E+00    2.06 m     60.65 mm    62.23 mm
  27.50 MeV   3.054E+02  2.352E+00    2.16 m     62.33 mm    62.87 mm
  30.00 MeV   3.176E+02  2.192E+00    2.25 m     63.84 mm    63.44 mm
  32.50 MeV   3.289E+02  2.054E+00    2.34 m     65.21 mm    63.95 mm
  35.00 MeV   3.395E+02  1.934E+00    2.43 m     66.46 mm    64.41 mm
  37.50 MeV   3.493E+02  1.828E+00    2.51 m     67.61 mm    64.83 mm
  40.00 MeV   3.584E+02  1.734E+00    2.60 m     68.69 mm    65.21 mm
  45.00 MeV   3.748E+02  1.574E+00    2.76 m     72.42 mm    65.90 mm
  50.00 MeV   3.891E+02  1.443E+00    2.91 m     75.69 mm    66.49 mm
  55.00 MeV   4.016E+02  1.333E+00    3.06 m     78.62 mm    67.02 mm
  60.00 MeV   4.123E+02  1.240E+00    3.20 m     81.29 mm    67.50 mm
  65.00 MeV   4.216E+02  1.160E+00    3.34 m     83.75 mm    67.93 mm
  70.00 MeV   4.295E+02  1.091E+00    3.48 m     86.04 mm    68.33 mm
  80.00 MeV   4.421E+02  9.752E-01    3.75 m     94.18 mm    69.04 mm
  90.00 MeV   4.509E+02  8.832E-01    4.01 m    101.32 mm    69.68 mm
 100.00 MeV   4.569E+02  8.080E-01    4.27 m    107.78 mm    70.25 mm
 110.00 MeV   4.606E+02  7.454E-01    4.53 m    113.75 mm    70.78 mm
 120.00 MeV   4.625E+02  6.923E-01    4.78 m    119.36 mm    71.27 mm
 130.00 MeV   4.629E+02  6.467E-01    5.04 m    124.68 mm    71.74 mm
 140.00 MeV   4.623E+02  6.071E-01    5.29 m    129.79 mm    72.19 mm
 150.00 MeV   4.607E+02  5.724E-01    5.54 m    134.73 mm    72.61 mm
 160.00 MeV   4.606E+02  5.416E-01    5.80 m    139.51 mm    73.03 mm
 170.00 MeV   4.595E+02  5.142E-01    6.05 m    144.14 mm    73.43 mm
 180.00 MeV   4.559E+02  4.896E-01    6.31 m    148.67 mm    73.82 mm
 200.00 MeV   4.484E+02  4.472E-01    6.83 m    165.91 mm    74.58 mm
 225.00 MeV   4.394E+02  4.040E-01    7.49 m    190.56 mm    75.50 mm
 250.00 MeV   4.297E+02  3.688E-01    8.17 m    213.26 mm    76.41 mm
 275.00 MeV   4.198E+02  3.396E-01    8.86 m    234.69 mm    77.31 mm
 300.00 MeV   4.100E+02  3.149E-01    9.57 m    255.22 mm    78.21 mm
 325.00 MeV   4.004E+02  2.937E-01   10.29 m    275.11 mm    79.12 mm
 350.00 MeV   3.910E+02  2.754E-01   11.04 m    294.52 mm    80.03 mm
 375.00 MeV   3.820E+02  2.593E-01   11.80 m    313.59 mm    80.96 mm
 400.00 MeV   3.732E+02  2.451E-01   12.58 m    332.39 mm    81.91 mm
 450.00 MeV   3.567E+02  2.211E-01   14.19 m    403.09 mm    83.86 mm
 500.00 MeV   3.414E+02  2.016E-01   15.87 m    468.31 mm    85.90 mm
 550.00 MeV   3.272E+02  1.854E-01   17.63 m    530.36 mm    88.04 mm
 600.00 MeV   3.140E+02  1.718E-01   19.47 m    590.46 mm    90.29 mm
 650.00 MeV   3.017E+02  1.601E-01   21.38 m    649.40 mm    92.65 mm
 700.00 MeV   2.901E+02  1.500E-01   23.37 m    707.68 mm    95.14 mm
 800.00 MeV   2.691E+02  1.333E-01   27.58 m    924.99 mm   100.52 mm
 900.00 MeV   2.504E+02  1.201E-01   32.11 m      1.13 m    106.45 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  8.5003E-06                 eV / Angstrom
  8.5003E-05                keV / micron
  8.5003E-05                MeV / mm
  1.5044E-01                keV / (ug/cm2)
  1.5044E-01                MeV / (mg/cm2)
  1.5044E+02                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  6.2260E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
