 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Silicon.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   7.482E+02  3.453E+01    3.97 um     3390 A      4072 A
  11.00 MeV   7.899E+02  3.220E+01    4.22 um     3461 A      4193 A
  12.00 MeV   8.297E+02  3.019E+01    4.46 um     3523 A      4301 A
  13.00 MeV   8.676E+02  2.844E+01    4.68 um     3578 A      4398 A
  14.00 MeV   9.038E+02  2.690E+01    4.90 um     3627 A      4487 A
  15.00 MeV   9.383E+02  2.553E+01    5.11 um     3672 A      4568 A
  16.00 MeV   9.713E+02  2.431E+01    5.32 um     3712 A      4642 A
  17.00 MeV   1.003E+03  2.321E+01    5.51 um     3749 A      4711 A
  18.00 MeV   1.033E+03  2.222E+01    5.70 um     3784 A      4775 A
  20.00 MeV   1.088E+03  2.049E+01    6.07 um     3862 A      4891 A
  22.50 MeV   1.151E+03  1.870E+01    6.51 um     3957 A      5018 A
  25.00 MeV   1.206E+03  1.723E+01    6.93 um     4039 A      5128 A
  27.50 MeV   1.255E+03  1.598E+01    7.33 um     4112 A      5226 A
  30.00 MeV   1.299E+03  1.492E+01    7.72 um     4178 A      5314 A
  32.50 MeV   1.338E+03  1.401E+01    8.09 um     4237 A      5394 A
  35.00 MeV   1.374E+03  1.320E+01    8.46 um     4292 A      5468 A
  37.50 MeV   1.406E+03  1.250E+01    8.82 um     4344 A      5536 A
  40.00 MeV   1.435E+03  1.187E+01    9.17 um     4391 A      5599 A
  45.00 MeV   1.488E+03  1.079E+01    9.85 um     4530 A      5714 A
  50.00 MeV   1.533E+03  9.910E+00   10.51 um     4655 A      5817 A
  55.00 MeV   1.572E+03  9.171E+00   11.15 um     4769 A      5910 A
  60.00 MeV   1.607E+03  8.543E+00   11.78 um     4875 A      5995 A
  65.00 MeV   1.638E+03  8.001E+00   12.39 um     4973 A      6073 A
  70.00 MeV   1.666E+03  7.528E+00   12.99 um     5066 A      6147 A
  80.00 MeV   1.714E+03  6.744E+00   14.18 um     5368 A      6280 A
  90.00 MeV   1.754E+03  6.117E+00   15.33 um     5639 A      6400 A
 100.00 MeV   1.787E+03  5.603E+00   16.46 um     5887 A      6509 A
 110.00 MeV   1.815E+03  5.175E+00   17.57 um     6116 A      6610 A
 120.00 MeV   1.838E+03  4.812E+00   18.67 um     6330 A      6704 A
 130.00 MeV   1.858E+03  4.499E+00   19.75 um     6531 A      6792 A
 140.00 MeV   1.875E+03  4.227E+00   20.83 um     6722 A      6876 A
 150.00 MeV   1.889E+03  3.988E+00   21.89 um     6905 A      6956 A
 160.00 MeV   1.902E+03  3.777E+00   22.95 um     7080 A      7032 A
 170.00 MeV   1.909E+03  3.588E+00   24.00 um     7249 A      7106 A
 180.00 MeV   1.908E+03  3.418E+00   25.05 um     7413 A      7177 A
 200.00 MeV   1.902E+03  3.125E+00   27.15 um     8013 A      7314 A
 225.00 MeV   1.898E+03  2.827E+00   29.79 um     8866 A      7476 A
 250.00 MeV   1.889E+03  2.583E+00   32.44 um     9648 A      7630 A
 275.00 MeV   1.877E+03  2.381E+00   35.10 um     1.04 um     7779 A
 300.00 MeV   1.861E+03  2.209E+00   37.79 um     1.11 um     7924 A
 325.00 MeV   1.844E+03  2.062E+00   40.49 um     1.17 um     8066 A
 350.00 MeV   1.825E+03  1.935E+00   43.23 um     1.24 um     8205 A
 375.00 MeV   1.805E+03  1.823E+00   45.99 um     1.30 um     8343 A
 400.00 MeV   1.783E+03  1.724E+00   48.79 um     1.36 um     8479 A
 450.00 MeV   1.740E+03  1.557E+00   54.49 um     1.58 um     8750 A
 500.00 MeV   1.695E+03  1.421E+00   60.34 um     1.79 um     9020 A
 550.00 MeV   1.650E+03  1.308E+00   66.34 um     1.98 um     9291 A
 600.00 MeV   1.606E+03  1.212E+00   72.50 um     2.17 um     9565 A
 650.00 MeV   1.563E+03  1.130E+00   78.84 um     2.35 um     9843 A
 700.00 MeV   1.521E+03  1.059E+00   85.35 um     2.52 um     1.01 um
 800.00 MeV   1.441E+03  9.425E-01   98.92 um     3.17 um     1.07 um
 900.00 MeV   1.367E+03  8.499E-01  113.23 um     3.77 um     1.13 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.9770E-01                 eV / Angstrom
  4.9770E+00                keV / micron
  4.9770E+00                MeV / mm
  2.1442E-02                keV / (ug/cm2)
  2.1442E-02                MeV / (mg/cm2)
  2.1442E+01                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.3041E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
