 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  1.2700E-04 g/cm3 = 1.8422E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.422E+01  2.423E+00   21.96 mm     1.33 mm     1.49 mm
   4.00 MeV   1.481E+01  2.323E+00   23.12 mm     1.37 mm     1.54 mm
   4.50 MeV   1.595E+01  2.149E+00   25.34 mm     1.45 mm     1.64 mm
   5.00 MeV   1.705E+01  2.002E+00   27.44 mm     1.52 mm     1.72 mm
   5.50 MeV   1.815E+01  1.876E+00   29.45 mm     1.58 mm     1.80 mm
   6.00 MeV   1.924E+01  1.767E+00   31.36 mm     1.63 mm     1.87 mm
   6.50 MeV   2.033E+01  1.671E+00   33.18 mm     1.68 mm     1.93 mm
   7.00 MeV   2.143E+01  1.587E+00   34.92 mm     1.72 mm     1.99 mm
   8.00 MeV   2.365E+01  1.443E+00   38.18 mm     1.82 mm     2.09 mm
   9.00 MeV   2.591E+01  1.326E+00   41.18 mm     1.90 mm     2.17 mm
  10.00 MeV   2.820E+01  1.228E+00   43.95 mm     1.96 mm     2.24 mm
  11.00 MeV   3.051E+01  1.145E+00   46.52 mm     2.02 mm     2.31 mm
  12.00 MeV   3.280E+01  1.074E+00   48.91 mm     2.06 mm     2.36 mm
  13.00 MeV   3.507E+01  1.012E+00   51.16 mm     2.10 mm     2.41 mm
  14.00 MeV   3.729E+01  9.572E-01   53.27 mm     2.14 mm     2.45 mm
  15.00 MeV   3.946E+01  9.087E-01   55.27 mm     2.17 mm     2.48 mm
  16.00 MeV   4.156E+01  8.654E-01   57.17 mm     2.19 mm     2.52 mm
  17.00 MeV   4.359E+01  8.264E-01   58.98 mm     2.22 mm     2.55 mm
  18.00 MeV   4.553E+01  7.911E-01   60.71 mm     2.24 mm     2.57 mm
  20.00 MeV   4.917E+01  7.296E-01   63.98 mm     2.30 mm     2.62 mm
  22.50 MeV   5.324E+01  6.660E-01   67.77 mm     2.37 mm     2.67 mm
  25.00 MeV   5.681E+01  6.136E-01   71.30 mm     2.44 mm     2.71 mm
  27.50 MeV   5.990E+01  5.694E-01   74.63 mm     2.49 mm     2.75 mm
  30.00 MeV   6.256E+01  5.317E-01   77.82 mm     2.54 mm     2.78 mm
  32.50 MeV   6.486E+01  4.990E-01   80.88 mm     2.58 mm     2.80 mm
  35.00 MeV   6.684E+01  4.705E-01   83.84 mm     2.62 mm     2.83 mm
  37.50 MeV   6.853E+01  4.453E-01   86.73 mm     2.66 mm     2.85 mm
  40.00 MeV   6.999E+01  4.229E-01   89.55 mm     2.69 mm     2.87 mm
