 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C- O.txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   2.010E+01  1.059E+00    5.52 um     3048 A      3697 A
  11.00 MeV   2.166E+01  9.871E-01    5.85 um     3124 A      3805 A
  12.00 MeV   2.314E+01  9.255E-01    6.15 um     3189 A      3899 A
  13.00 MeV   2.454E+01  8.719E-01    6.44 um     3245 A      3983 A
  14.00 MeV   2.587E+01  8.248E-01    6.71 um     3295 A      4057 A
  15.00 MeV   2.711E+01  7.830E-01    6.97 um     3339 A      4124 A
  16.00 MeV   2.829E+01  7.456E-01    7.22 um     3378 A      4184 A
  17.00 MeV   2.940E+01  7.120E-01    7.47 um     3414 A      4240 A
  18.00 MeV   3.044E+01  6.815E-01    7.70 um     3447 A      4290 A
  20.00 MeV   3.237E+01  6.285E-01    8.14 um     3533 A      4381 A
  22.50 MeV   3.450E+01  5.737E-01    8.67 um     3640 A      4477 A
  25.00 MeV   3.639E+01  5.284E-01    9.16 um     3731 A      4560 A
  27.50 MeV   3.809E+01  4.904E-01    9.64 um     3812 A      4632 A
  30.00 MeV   3.963E+01  4.579E-01   10.09 um     3884 A      4696 A
  32.50 MeV   4.104E+01  4.297E-01   10.53 um     3949 A      4754 A
  35.00 MeV   4.234E+01  4.051E-01   10.95 um     4008 A      4806 A
  37.50 MeV   4.355E+01  3.834E-01   11.37 um     4063 A      4854 A
  40.00 MeV   4.467E+01  3.641E-01   11.77 um     4114 A      4898 A
  45.00 MeV   4.668E+01  3.312E-01   12.55 um     4278 A      4976 A
  50.00 MeV   4.842E+01  3.041E-01   13.29 um     4423 A      5045 A
  55.00 MeV   4.993E+01  2.815E-01   14.02 um     4554 A      5106 A
  60.00 MeV   5.125E+01  2.622E-01   14.72 um     4673 A      5162 A
  65.00 MeV   5.239E+01  2.456E-01   15.41 um     4784 A      5213 A
  70.00 MeV   5.339E+01  2.311E-01   16.08 um     4888 A      5259 A
  80.00 MeV   5.502E+01  2.070E-01   17.39 um     5246 A      5344 A
  90.00 MeV   5.628E+01  1.878E-01   18.67 um     5564 A      5418 A
 100.00 MeV   5.726E+01  1.720E-01   19.93 um     5853 A      5486 A
 110.00 MeV   5.801E+01  1.589E-01   21.17 um     6119 A      5548 A
 120.00 MeV   5.858E+01  1.477E-01   22.39 um     6369 A      5606 A
 130.00 MeV   5.900E+01  1.381E-01   23.61 um     6605 A      5660 A
 140.00 MeV   5.931E+01  1.298E-01   24.81 um     6830 A      5712 A
 150.00 MeV   5.951E+01  1.225E-01   26.02 um     7045 A      5761 A
 160.00 MeV   5.964E+01  1.160E-01   27.21 um     7253 A      5808 A
 170.00 MeV   5.969E+01  1.102E-01   28.41 um     7454 A      5853 A
 180.00 MeV   5.980E+01  1.050E-01   29.61 um     7650 A      5897 A
 200.00 MeV   6.037E+01  9.597E-02   31.99 um     8367 A      5981 A
 225.00 MeV   6.006E+01  8.681E-02   34.95 um     9371 A      6079 A
 250.00 MeV   5.953E+01  7.934E-02   37.94 um     1.03 um     6174 A
 275.00 MeV   5.891E+01  7.312E-02   40.96 um     1.11 um     6265 A
 300.00 MeV   5.823E+01  6.786E-02   44.01 um     1.20 um     6354 A
 325.00 MeV   5.751E+01  6.334E-02   47.10 um     1.27 um     6442 A
 350.00 MeV   5.676E+01  5.943E-02   50.23 um     1.35 um     6528 A
 375.00 MeV   5.599E+01  5.599E-02   53.40 um     1.42 um     6614 A
 400.00 MeV   5.521E+01  5.295E-02   56.62 um     1.49 um     6699 A
 450.00 MeV   5.365E+01  4.782E-02   63.19 um     1.76 um     6870 A
 500.00 MeV   5.210E+01  4.364E-02   69.95 um     2.01 um     7042 A
 550.00 MeV   5.059E+01  4.017E-02   76.92 um     2.24 um     7217 A
 600.00 MeV   4.914E+01  3.723E-02   84.09 um     2.46 um     7394 A
 650.00 MeV   4.774E+01  3.472E-02   91.48 um     2.67 um     7576 A
 700.00 MeV   4.640E+01  3.254E-02   99.08 um     2.88 um     7761 A
 800.00 MeV   4.390E+01  2.895E-02  114.94 um     3.65 um     8147 A
 900.00 MeV   4.163E+01  2.611E-02  131.67 um     4.35 um     8555 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3970E+01                 eV / Angstrom
  1.3970E+02                keV / micron
  1.3970E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  1.4505E+01                 eV / (1E15 atoms/cm2)
  4.0850E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
