 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  1.9072E-04 g/cm3 = 2.7665E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.042E+02  1.563E+01   14.33 mm   876.65 um   989.99 um
   4.00 MeV   1.085E+02  1.498E+01   15.07 mm   899.27 um     1.02 mm
   4.50 MeV   1.170E+02  1.384E+01   16.48 mm   949.72 um     1.08 mm
   5.00 MeV   1.253E+02  1.288E+01   17.81 mm   992.67 um     1.14 mm
   5.50 MeV   1.336E+02  1.206E+01   19.08 mm     1.03 mm     1.19 mm
   6.00 MeV   1.419E+02  1.135E+01   20.28 mm     1.06 mm     1.23 mm
   6.50 MeV   1.502E+02  1.073E+01   21.43 mm     1.09 mm     1.27 mm
   7.00 MeV   1.587E+02  1.018E+01   22.52 mm     1.12 mm     1.30 mm
   8.00 MeV   1.758E+02  9.255E+00   24.55 mm     1.17 mm     1.36 mm
   9.00 MeV   1.932E+02  8.498E+00   26.41 mm     1.22 mm     1.41 mm
  10.00 MeV   2.107E+02  7.866E+00   28.13 mm     1.26 mm     1.46 mm
  11.00 MeV   2.281E+02  7.331E+00   29.72 mm     1.29 mm     1.49 mm
  12.00 MeV   2.453E+02  6.871E+00   31.20 mm     1.32 mm     1.53 mm
  13.00 MeV   2.621E+02  6.471E+00   32.58 mm     1.34 mm     1.55 mm
  14.00 MeV   2.784E+02  6.119E+00   33.88 mm     1.36 mm     1.58 mm
  15.00 MeV   2.941E+02  5.807E+00   35.12 mm     1.38 mm     1.60 mm
  16.00 MeV   3.091E+02  5.529E+00   36.29 mm     1.40 mm     1.62 mm
  17.00 MeV   3.235E+02  5.278E+00   37.41 mm     1.41 mm     1.64 mm
  18.00 MeV   3.371E+02  5.051E+00   38.49 mm     1.42 mm     1.65 mm
  20.00 MeV   3.623E+02  4.656E+00   40.52 mm     1.46 mm     1.68 mm
  22.50 MeV   3.898E+02  4.249E+00   42.90 mm     1.51 mm     1.71 mm
  25.00 MeV   4.134E+02  3.912E+00   45.12 mm     1.55 mm     1.74 mm
  27.50 MeV   4.335E+02  3.629E+00   47.23 mm     1.58 mm     1.76 mm
  30.00 MeV   4.505E+02  3.387E+00   49.26 mm     1.61 mm     1.78 mm
  32.50 MeV   4.648E+02  3.179E+00   51.22 mm     1.64 mm     1.79 mm
  35.00 MeV   4.770E+02  2.996E+00   53.12 mm     1.66 mm     1.81 mm
  37.50 MeV   4.873E+02  2.835E+00   54.99 mm     1.69 mm     1.82 mm
  40.00 MeV   4.959E+02  2.691E+00   56.81 mm     1.71 mm     1.84 mm
  45.00 MeV   5.094E+02  2.447E+00   60.39 mm     1.79 mm     1.86 mm
  50.00 MeV   5.190E+02  2.247E+00   63.88 mm     1.86 mm     1.88 mm
  55.00 MeV   5.256E+02  2.079E+00   67.33 mm     1.92 mm     1.90 mm
  60.00 MeV   5.300E+02  1.936E+00   70.74 mm     1.99 mm     1.92 mm
  65.00 MeV   5.326E+02  1.813E+00   74.13 mm     2.05 mm     1.93 mm
  70.00 MeV   5.338E+02  1.706E+00   77.50 mm     2.11 mm     1.95 mm
  80.00 MeV   5.332E+02  1.528E+00   84.26 mm     2.32 mm     1.97 mm
  90.00 MeV   5.299E+02  1.385E+00   91.04 mm     2.51 mm     2.00 mm
 100.00 MeV   5.250E+02  1.269E+00   97.87 mm     2.69 mm     2.03 mm
 110.00 MeV   5.191E+02  1.172E+00  104.78 mm     2.87 mm     2.05 mm
 120.00 MeV   5.127E+02  1.089E+00  111.77 mm     3.04 mm     2.07 mm
 130.00 MeV   5.061E+02  1.018E+00  118.85 mm     3.20 mm     2.09 mm
 140.00 MeV   4.995E+02  9.566E-01  126.03 mm     3.36 mm     2.12 mm
 150.00 MeV   4.930E+02  9.025E-01  133.30 mm     3.52 mm     2.14 mm
 160.00 MeV   4.877E+02  8.545E-01  140.66 mm     3.67 mm     2.16 mm
 170.00 MeV   4.824E+02  8.117E-01  148.10 mm     3.82 mm     2.18 mm
 180.00 MeV   4.750E+02  7.733E-01  155.63 mm     3.97 mm     2.20 mm
 200.00 MeV   4.629E+02  7.069E-01  171.03 mm     4.53 mm     2.24 mm
 225.00 MeV   4.526E+02  6.393E-01  190.74 mm     5.32 mm     2.29 mm
 250.00 MeV   4.433E+02  5.842E-01  210.89 mm     6.04 mm     2.34 mm
 275.00 MeV   4.348E+02  5.383E-01  231.45 mm     6.71 mm     2.40 mm
