 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Silicon (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.822E+01  9.012E-01    3.60 um     3012 A      3584 A
  11.00 MeV   1.925E+01  8.411E-01    3.82 um     3073 A      3689 A
  12.00 MeV   2.018E+01  7.893E-01    4.03 um     3127 A      3783 A
  13.00 MeV   2.102E+01  7.441E-01    4.23 um     3176 A      3869 A
  14.00 MeV   2.178E+01  7.043E-01    4.42 um     3219 A      3946 A
  15.00 MeV   2.246E+01  6.690E-01    4.61 um     3259 A      4017 A
  16.00 MeV   2.308E+01  6.374E-01    4.79 um     3296 A      4083 A
  17.00 MeV   2.364E+01  6.090E-01    4.97 um     3330 A      4145 A
  18.00 MeV   2.416E+01  5.832E-01    5.14 um     3361 A      4202 A
  20.00 MeV   2.507E+01  5.382E-01    5.48 um     3436 A      4308 A
  22.50 MeV   2.604E+01  4.918E-01    5.89 um     3528 A      4425 A
  25.00 MeV   2.685E+01  4.533E-01    6.29 um     3610 A      4529 A
  27.50 MeV   2.755E+01  4.209E-01    6.68 um     3685 A      4624 A
  30.00 MeV   2.817E+01  3.932E-01    7.06 um     3754 A      4710 A
  32.50 MeV   2.873E+01  3.693E-01    7.43 um     3818 A      4790 A
  35.00 MeV   2.924E+01  3.483E-01    7.80 um     3878 A      4865 A
  37.50 MeV   2.972E+01  3.298E-01    8.16 um     3935 A      4935 A
  40.00 MeV   3.018E+01  3.133E-01    8.51 um     3989 A      5001 A
  45.00 MeV   3.105E+01  2.851E-01    9.21 um     4146 A      5123 A
  50.00 MeV   3.188E+01  2.620E-01    9.89 um     4289 A      5233 A
  55.00 MeV   3.269E+01  2.426E-01   10.55 um     4420 A      5334 A
  60.00 MeV   3.349E+01  2.261E-01   11.19 um     4540 A      5428 A
  65.00 MeV   3.428E+01  2.118E-01   11.82 um     4651 A      5514 A
  70.00 MeV   3.505E+01  1.994E-01   12.44 um     4754 A      5595 A
  80.00 MeV   3.652E+01  1.787E-01   13.64 um     5083 A      5741 A
  90.00 MeV   3.789E+01  1.622E-01   14.79 um     5369 A      5872 A
 100.00 MeV   3.915E+01  1.487E-01   15.90 um     5622 A      5990 A
 110.00 MeV   4.028E+01  1.374E-01   16.98 um     5849 A      6097 A
 120.00 MeV   4.130E+01  1.278E-01   18.03 um     6056 A      6196 A
 130.00 MeV   4.221E+01  1.195E-01   19.06 um     6247 A      6288 A
 140.00 MeV   4.302E+01  1.123E-01   20.07 um     6425 A      6374 A
 150.00 MeV   4.373E+01  1.060E-01   21.06 um     6591 A      6455 A
 160.00 MeV   4.436E+01  1.004E-01   22.03 um     6749 A      6531 A
 170.00 MeV   4.490E+01  9.541E-02   22.99 um     6898 A      6604 A
 180.00 MeV   4.537E+01  9.092E-02   23.95 um     7041 A      6673 A
 200.00 MeV   4.569E+01  8.316E-02   25.83 um     7553 A      6804 A
 225.00 MeV   4.564E+01  7.525E-02   28.19 um     8278 A      6957 A
 250.00 MeV   4.581E+01  6.880E-02   30.54 um     8943 A      7101 A
 275.00 MeV   4.579E+01  6.343E-02   32.89 um     9558 A      7237 A
 300.00 MeV   4.561E+01  5.888E-02   35.24 um     1.01 um     7368 A
 325.00 MeV   4.531E+01  5.497E-02   37.60 um     1.07 um     7495 A
 350.00 MeV   4.493E+01  5.158E-02   39.99 um     1.12 um     7618 A
 375.00 MeV   4.448E+01  4.861E-02   42.39 um     1.17 um     7738 A
 400.00 MeV   4.399E+01  4.598E-02   44.83 um     1.23 um     7857 A
 450.00 MeV   4.291E+01  4.154E-02   49.78 um     1.41 um     8091 A
 500.00 MeV   4.177E+01  3.792E-02   54.86 um     1.59 um     8323 A
 550.00 MeV   4.063E+01  3.491E-02   60.09 um     1.75 um     8554 A
 600.00 MeV   3.949E+01  3.237E-02   65.46 um     1.91 um     8787 A
 650.00 MeV   3.839E+01  3.019E-02   70.99 um     2.07 um     9022 A
 700.00 MeV   3.734E+01  2.830E-02   76.67 um     2.22 um     9260 A
 800.00 MeV   3.537E+01  2.519E-02   88.52 um     2.79 um     9751 A
 900.00 MeV   3.359E+01  2.272E-02  101.02 um     3.30 um     1.03 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom
  2.3211E+02                keV / micron
  2.3211E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  4.6637E+01                 eV / (1E15 atoms/cm2)
  5.6395E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
