 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Hydrogen (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  8.2650E-07 g/cm3 = 4.9377E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   4.111E+01  9.982E+00    1.40 m     51.23 mm    41.71 mm
   3.25 MeV   4.293E+01  9.498E+00    1.50 m     53.76 mm    43.69 mm
   3.50 MeV   4.478E+01  9.066E+00    1.59 m     56.06 mm    45.56 mm
   3.75 MeV   4.666E+01  8.677E+00    1.69 m     58.16 mm    47.31 mm
   4.00 MeV   4.860E+01  8.324E+00    1.78 m     60.08 mm    48.96 mm
   4.50 MeV   5.266E+01  7.708E+00    1.95 m     65.76 mm    51.97 mm
   5.00 MeV   5.698E+01  7.188E+00    2.11 m     70.44 mm    54.64 mm
   5.50 MeV   6.159E+01  6.741E+00    2.26 m     74.33 mm    57.00 mm
   6.00 MeV   6.646E+01  6.354E+00    2.41 m     77.61 mm    59.10 mm
   6.50 MeV   7.158E+01  6.013E+00    2.54 m     80.40 mm    60.96 mm
   7.00 MeV   7.692E+01  5.712E+00    2.67 m     82.79 mm    62.63 mm
   8.00 MeV   8.810E+01  5.200E+00    2.90 m     89.62 mm    65.43 mm
   9.00 MeV   9.972E+01  4.782E+00    3.10 m     94.69 mm    67.70 mm
  10.00 MeV   1.115E+02  4.432E+00    3.29 m     98.59 mm    69.55 mm
  11.00 MeV   1.232E+02  4.136E+00    3.45 m    101.68 mm    71.10 mm
  12.00 MeV   1.346E+02  3.880E+00    3.61 m    104.20 mm    72.40 mm
  13.00 MeV   1.457E+02  3.657E+00    3.75 m    106.30 mm    73.51 mm
  14.00 MeV   1.562E+02  3.461E+00    3.88 m    108.09 mm    74.47 mm
  15.00 MeV   1.663E+02  3.287E+00    4.00 m    109.63 mm    75.31 mm
  16.00 MeV   1.758E+02  3.131E+00    4.12 m    111.00 mm    76.06 mm
  17.00 MeV   1.847E+02  2.991E+00    4.23 m    112.21 mm    76.73 mm
  18.00 MeV   1.932E+02  2.864E+00    4.33 m    113.30 mm    77.33 mm
  20.00 MeV   2.086E+02  2.643E+00    4.53 m    116.92 mm    78.37 mm
  22.50 MeV   2.254E+02  2.414E+00    4.76 m    121.55 mm    79.45 mm
  25.00 MeV   2.399E+02  2.225E+00    4.98 m    125.45 mm    80.35 mm
  27.50 MeV   2.526E+02  2.066E+00    5.18 m    128.83 mm    81.12 mm
  30.00 MeV   2.636E+02  1.929E+00    5.38 m    131.84 mm    81.78 mm
  32.50 MeV   2.732E+02  1.812E+00    5.56 m    134.55 mm    82.38 mm
  35.00 MeV   2.817E+02  1.708E+00    5.74 m    137.04 mm    82.91 mm
  37.50 MeV   2.892E+02  1.617E+00    5.92 m    139.36 mm    83.39 mm
  40.00 MeV   2.958E+02  1.536E+00    6.09 m    141.52 mm    83.83 mm
  45.00 MeV   3.066E+02  1.398E+00    6.43 m    149.31 mm    84.62 mm
  50.00 MeV   3.149E+02  1.284E+00    6.75 m    156.27 mm    85.30 mm
  55.00 MeV   3.211E+02  1.189E+00    7.07 m    162.65 mm    85.91 mm
  60.00 MeV   3.255E+02  1.108E+00    7.38 m    168.58 mm    86.46 mm
  65.00 MeV   3.285E+02  1.038E+00    7.69 m    174.19 mm    86.97 mm
  70.00 MeV   3.302E+02  9.772E-01    8.00 m    179.55 mm    87.45 mm
  80.00 MeV   3.307E+02  8.757E-01    8.61 m    199.34 mm    88.32 mm
  90.00 MeV   3.284E+02  7.947E-01    9.22 m    217.43 mm    89.12 mm
 100.00 MeV   3.242E+02  7.283E-01    9.84 m    234.46 mm    89.86 mm
 110.00 MeV   3.188E+02  6.728E-01   10.47 m    250.80 mm    90.57 mm
 120.00 MeV   3.126E+02  6.257E-01   11.11 m    266.69 mm    91.25 mm
 130.00 MeV   3.061E+02  5.852E-01   11.76 m    282.29 mm    91.92 mm
 140.00 MeV   2.994E+02  5.500E-01   12.43 m    297.70 mm    92.59 mm
 150.00 MeV   2.927E+02  5.190E-01   13.11 m    313.01 mm    93.24 mm
 160.00 MeV   2.880E+02  4.916E-01   13.81 m    328.17 mm    93.90 mm
 170.00 MeV   2.835E+02  4.671E-01   14.52 m    343.12 mm    94.55 mm
 180.00 MeV   2.777E+02  4.451E-01   15.24 m    357.97 mm    95.20 mm
 200.00 MeV   2.667E+02  4.071E-01   16.72 m    415.18 mm    96.52 mm
 225.00 MeV   2.549E+02  3.683E-01   18.66 m    497.70 mm    98.21 mm
 250.00 MeV   2.447E+02  3.367E-01   20.69 m    574.29 mm    99.97 mm
 275.00 MeV   2.359E+02  3.104E-01   22.79 m    646.93 mm   101.78 mm
 300.00 MeV   2.282E+02  2.881E-01   24.97 m    716.67 mm   103.67 mm
 325.00 MeV   2.216E+02  2.690E-01   27.22 m    784.13 mm   105.62 mm
 350.00 MeV   2.157E+02  2.524E-01   29.54 m    849.70 mm   107.64 mm
 375.00 MeV   2.104E+02  2.378E-01   31.91 m    913.68 mm   109.73 mm
 400.00 MeV   2.057E+02  2.250E-01   34.34 m    976.28 mm   111.89 mm
 450.00 MeV   1.973E+02  2.032E-01   39.37 m      1.21 m    116.40 mm
