 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Silicon.txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   1.626E+01  8.335E-01    4.35 um     3637 A      4377 A
  12.00 MeV   1.707E+01  7.822E-01    4.60 um     3706 A      4498 A
  13.00 MeV   1.781E+01  7.374E-01    4.83 um     3767 A      4607 A
  14.00 MeV   1.848E+01  6.979E-01    5.06 um     3823 A      4707 A
  15.00 MeV   1.910E+01  6.629E-01    5.28 um     3873 A      4799 A
  16.00 MeV   1.967E+01  6.316E-01    5.49 um     3919 A      4883 A
  17.00 MeV   2.020E+01  6.034E-01    5.70 um     3962 A      4962 A
  18.00 MeV   2.069E+01  5.778E-01    5.90 um     4002 A      5035 A
  20.00 MeV   2.160E+01  5.333E-01    6.30 um     4093 A      5170 A
  22.50 MeV   2.261E+01  4.872E-01    6.77 um     4203 A      5318 A
  25.00 MeV   2.352E+01  4.491E-01    7.22 um     4300 A      5449 A
  27.50 MeV   2.436E+01  4.170E-01    7.66 um     4386 A      5567 A
  30.00 MeV   2.516E+01  3.895E-01    8.09 um     4465 A      5673 A
  32.50 MeV   2.592E+01  3.658E-01    8.50 um     4537 A      5771 A
  35.00 MeV   2.665E+01  3.450E-01    8.91 um     4603 A      5861 A
  37.50 MeV   2.735E+01  3.266E-01    9.30 um     4664 A      5944 A
  40.00 MeV   2.802E+01  3.103E-01    9.68 um     4720 A      6021 A
  45.00 MeV   2.931E+01  2.824E-01   10.42 um     4879 A      6161 A
  50.00 MeV   3.052E+01  2.595E-01   11.14 um     5020 A      6285 A
  55.00 MeV   3.165E+01  2.403E-01   11.82 um     5146 A      6397 A
  60.00 MeV   3.270E+01  2.239E-01   12.49 um     5259 A      6498 A
  65.00 MeV   3.369E+01  2.098E-01   13.13 um     5363 A      6590 A
  70.00 MeV   3.462E+01  1.975E-01   13.76 um     5459 A      6675 A
  80.00 MeV   3.632E+01  1.770E-01   14.96 um     5758 A      6827 A
  90.00 MeV   3.782E+01  1.606E-01   16.12 um     6018 A      6960 A
 100.00 MeV   3.916E+01  1.472E-01   17.23 um     6249 A      7079 A
 110.00 MeV   4.034E+01  1.360E-01   18.31 um     6457 A      7186 A
 120.00 MeV   4.138E+01  1.265E-01   19.36 um     6647 A      7284 A
 130.00 MeV   4.230E+01  1.183E-01   20.38 um     6823 A      7374 A
 140.00 MeV   4.312E+01  1.112E-01   21.39 um     6987 A      7458 A
 150.00 MeV   4.383E+01  1.050E-01   22.38 um     7141 A      7537 A
 160.00 MeV   4.445E+01  9.941E-02   23.35 um     7287 A      7611 A
 170.00 MeV   4.499E+01  9.446E-02   24.31 um     7427 A      7681 A
 180.00 MeV   4.548E+01  9.001E-02   25.26 um     7560 A      7748 A
 200.00 MeV   4.600E+01  8.234E-02   27.14 um     8037 A      7873 A
 225.00 MeV   4.612E+01  7.450E-02   29.47 um     8713 A      8018 A
 250.00 MeV   4.621E+01  6.811E-02   31.80 um     9336 A      8154 A
