 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in  H- C- O.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   2.852E+02  1.266E+01    5.72 um     3163 A      3890 A
  11.00 MeV   3.073E+02  1.179E+01    6.05 um     3239 A      3997 A
  12.00 MeV   3.289E+02  1.104E+01    6.37 um     3303 A      4091 A
  13.00 MeV   3.501E+02  1.039E+01    6.66 um     3358 A      4173 A
  14.00 MeV   3.707E+02  9.825E+00    6.94 um     3406 A      4246 A
  15.00 MeV   3.907E+02  9.321E+00    7.20 um     3449 A      4311 A
  16.00 MeV   4.100E+02  8.870E+00    7.46 um     3487 A      4369 A
  17.00 MeV   4.286E+02  8.465E+00    7.70 um     3521 A      4422 A
  18.00 MeV   4.464E+02  8.099E+00    7.93 um     3552 A      4471 A
  20.00 MeV   4.800E+02  7.462E+00    8.37 um     3632 A      4556 A
  22.50 MeV   5.181E+02  6.805E+00    8.88 um     3730 A      4646 A
  25.00 MeV   5.521E+02  6.263E+00    9.36 um     3813 A      4721 A
  27.50 MeV   5.825E+02  5.807E+00    9.81 um     3884 A      4787 A
  30.00 MeV   6.097E+02  5.419E+00   10.24 um     3947 A      4844 A
  32.50 MeV   6.338E+02  5.083E+00   10.66 um     4003 A      4894 A
  35.00 MeV   6.553E+02  4.789E+00   11.06 um     4055 A      4940 A
  37.50 MeV   6.743E+02  4.530E+00   11.44 um     4102 A      4981 A
  40.00 MeV   6.910E+02  4.300E+00   11.82 um     4147 A      5019 A
  45.00 MeV   7.188E+02  3.909E+00   12.55 um     4290 A      5087 A
  50.00 MeV   7.401E+02  3.587E+00   13.26 um     4419 A      5147 A
  55.00 MeV   7.563E+02  3.318E+00   13.95 um     4537 A      5200 A
  60.00 MeV   7.685E+02  3.089E+00   14.63 um     4648 A      5248 A
  65.00 MeV   7.775E+02  2.892E+00   15.30 um     4753 A      5292 A
  70.00 MeV   7.841E+02  2.720E+00   15.96 um     4853 A      5334 A
  80.00 MeV   7.921E+02  2.435E+00   17.27 um     5211 A      5410 A
  90.00 MeV   7.954E+02  2.207E+00   18.57 um     5540 A      5478 A
 100.00 MeV   7.958E+02  2.021E+00   19.87 um     5849 A      5542 A
 110.00 MeV   7.943E+02  1.866E+00   21.18 um     6142 A      5601 A
 120.00 MeV   7.917E+02  1.734E+00   22.48 um     6423 A      5658 A
 130.00 MeV   7.882E+02  1.621E+00   23.79 um     6694 A      5712 A
 140.00 MeV   7.843E+02  1.522E+00   25.11 um     6956 A      5764 A
 150.00 MeV   7.801E+02  1.436E+00   26.44 um     7211 A      5815 A
 160.00 MeV   7.790E+02  1.359E+00   27.77 um     7459 A      5864 A
 170.00 MeV   7.804E+02  1.291E+00   29.10 um     7699 A      5912 A
 180.00 MeV   7.785E+02  1.230E+00   30.42 um     7932 A      5958 A
 200.00 MeV   7.694E+02  1.124E+00   33.10 um     8801 A      6049 A
 225.00 MeV   7.585E+02  1.016E+00   36.50 um     1.00 um     6160 A
 250.00 MeV   7.480E+02  9.285E-01   39.94 um     1.12 um     6267 A
 275.00 MeV   7.379E+02  8.554E-01   43.43 um     1.22 um     6374 A
 300.00 MeV   7.281E+02  7.936E-01   46.97 um     1.32 um     6479 A
 325.00 MeV   7.185E+02  7.406E-01   50.55 um     1.42 um     6583 A
 350.00 MeV   7.090E+02  6.946E-01   54.18 um     1.51 um     6687 A
 375.00 MeV   6.996E+02  6.543E-01   57.87 um     1.60 um     6791 A
 400.00 MeV   6.903E+02  6.187E-01   61.60 um     1.68 um     6895 A
 450.00 MeV   6.720E+02  5.585E-01   69.21 um     2.00 um     7104 A
 500.00 MeV   6.541E+02  5.095E-01   77.04 um     2.28 um     7316 A
 550.00 MeV   6.364E+02  4.688E-01   85.08 um     2.55 um     7531 A
 600.00 MeV   6.192E+02  4.345E-01   93.35 um     2.81 um     7751 A
 650.00 MeV   6.023E+02  4.051E-01  101.84 um     3.06 um     7975 A
 700.00 MeV   5.859E+02  3.796E-01  110.58 um     3.30 um     8205 A
 800.00 MeV   5.544E+02  3.376E-01  128.79 um     4.19 um     8683 A
 900.00 MeV   5.249E+02  3.043E-01  148.03 um     4.99 um     9186 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.6311E-01                 eV / Angstrom
  9.6311E+00                keV / micron
  9.6311E+00                MeV / mm
  6.8943E-02                keV / (ug/cm2)
  6.8943E-02                MeV / (mg/cm2)
  6.8943E+01                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  2.9671E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
