 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Carbon.txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   4.472E+02  1.388E+01    3.50 um     1751 A      2148 A
  12.00 MeV   4.712E+02  1.299E+01    3.68 um     1789 A      2198 A
  13.00 MeV   4.936E+02  1.222E+01    3.86 um     1822 A      2242 A
  14.00 MeV   5.147E+02  1.155E+01    4.03 um     1851 A      2282 A
  15.00 MeV   5.345E+02  1.095E+01    4.20 um     1878 A      2319 A
  16.00 MeV   5.531E+02  1.042E+01    4.36 um     1902 A      2352 A
  17.00 MeV   5.707E+02  9.937E+00    4.51 um     1924 A      2383 A
  18.00 MeV   5.874E+02  9.503E+00    4.66 um     1945 A      2411 A
  20.00 MeV   6.180E+02  8.750E+00    4.95 um     2003 A      2463 A
  22.50 MeV   6.521E+02  7.974E+00    5.29 um     2077 A      2518 A
  25.00 MeV   6.823E+02  7.335E+00    5.62 um     2142 A      2567 A
  27.50 MeV   7.092E+02  6.798E+00    5.93 um     2199 A      2610 A
  30.00 MeV   7.334E+02  6.340E+00    6.24 um     2251 A      2648 A
  32.50 MeV   7.552E+02  5.945E+00    6.53 um     2298 A      2683 A
  35.00 MeV   7.751E+02  5.600E+00    6.82 um     2342 A      2715 A
  37.50 MeV   7.932E+02  5.296E+00    7.10 um     2383 A      2745 A
  40.00 MeV   8.100E+02  5.025E+00    7.37 um     2421 A      2772 A
  45.00 MeV   8.397E+02  4.565E+00    7.91 um     2547 A      2822 A
  50.00 MeV   8.655E+02  4.187E+00    8.42 um     2659 A      2866 A
  55.00 MeV   8.880E+02  3.872E+00    8.92 um     2761 A      2906 A
  60.00 MeV   9.077E+02  3.603E+00    9.41 um     2854 A      2943 A
  65.00 MeV   9.250E+02  3.372E+00    9.90 um     2940 A      2977 A
  70.00 MeV   9.403E+02  3.171E+00   10.37 um     3022 A      3008 A
  80.00 MeV   9.655E+02  2.837E+00   11.29 um     3303 A      3065 A
  90.00 MeV   9.848E+02  2.571E+00   12.20 um     3550 A      3116 A
 100.00 MeV   9.994E+02  2.353E+00   13.09 um     3774 A      3163 A
