 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 31, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Carbon.txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   2.273E+01  8.971E-01    3.39 um     1723 A      2084 A
  12.00 MeV   2.407E+01  8.407E-01    3.58 um     1761 A      2136 A
  13.00 MeV   2.532E+01  7.917E-01    3.75 um     1795 A      2183 A
  14.00 MeV   2.649E+01  7.487E-01    3.92 um     1824 A      2225 A
  15.00 MeV   2.757E+01  7.105E-01    4.07 um     1851 A      2263 A
  16.00 MeV   2.858E+01  6.764E-01    4.23 um     1876 A      2297 A
  17.00 MeV   2.953E+01  6.457E-01    4.38 um     1898 A      2329 A
  18.00 MeV   3.042E+01  6.179E-01    4.52 um     1919 A      2359 A
  20.00 MeV   3.204E+01  5.696E-01    4.80 um     1976 A      2412 A
  22.50 MeV   3.381E+01  5.197E-01    5.13 um     2048 A      2470 A
  25.00 MeV   3.536E+01  4.785E-01    5.45 um     2111 A      2520 A
  27.50 MeV   3.674E+01  4.439E-01    5.75 um     2166 A      2564 A
  30.00 MeV   3.797E+01  4.143E-01    6.04 um     2217 A      2604 A
  32.50 MeV   3.909E+01  3.888E-01    6.33 um     2263 A      2640 A
  35.00 MeV   4.011E+01  3.664E-01    6.61 um     2305 A      2674 A
  37.50 MeV   4.104E+01  3.467E-01    6.88 um     2345 A      2704 A
  40.00 MeV   4.191E+01  3.292E-01    7.14 um     2382 A      2733 A
  45.00 MeV   4.347E+01  2.993E-01    7.66 um     2503 A      2784 A
  50.00 MeV   4.484E+01  2.748E-01    8.16 um     2611 A      2830 A
  55.00 MeV   4.605E+01  2.542E-01    8.64 um     2709 A      2872 A
  60.00 MeV   4.714E+01  2.368E-01    9.11 um     2799 A      2909 A
  65.00 MeV   4.811E+01  2.217E-01    9.58 um     2882 A      2944 A
  70.00 MeV   4.899E+01  2.086E-01   10.03 um     2959 A      2977 A
  80.00 MeV   5.051E+01  1.868E-01   10.92 um     3225 A      3035 A
  90.00 MeV   5.175E+01  1.694E-01   11.79 um     3458 A      3088 A
 100.00 MeV   5.277E+01  1.551E-01   12.63 um     3667 A      3136 A
 110.00 MeV   5.360E+01  1.432E-01   13.46 um     3858 A      3180 A
 120.00 MeV   5.428E+01  1.332E-01   14.28 um     4035 A      3221 A
 130.00 MeV   5.481E+01  1.245E-01   15.10 um     4200 A      3259 A
 140.00 MeV   5.523E+01  1.170E-01   15.90 um     4357 A      3296 A
 150.00 MeV   5.555E+01  1.103E-01   16.70 um     4506 A      3330 A
 160.00 MeV   5.578E+01  1.045E-01   17.50 um     4648 A      3364 A
 170.00 MeV   5.593E+01  9.924E-02   18.29 um     4786 A      3396 A
 180.00 MeV   5.610E+01  9.453E-02   19.08 um     4918 A      3427 A
 200.00 MeV   5.650E+01  8.642E-02   20.65 um     5405 A      3486 A
 225.00 MeV   5.620E+01  7.816E-02   22.62 um     6086 A      3556 A
 250.00 MeV   5.592E+01  7.142E-02   24.60 um     6703 A      3623 A
 275.00 MeV   5.548E+01  6.581E-02   26.59 um     7275 A      3688 A
 300.00 MeV   5.493E+01  6.106E-02   28.59 um     7814 A      3750 A
 325.00 MeV   5.430E+01  5.699E-02   30.62 um     8330 A      3812 A
 350.00 MeV   5.360E+01  5.346E-02   32.68 um     8826 A      3873 A
 375.00 MeV   5.285E+01  5.037E-02   34.76 um     9309 A      3933 A
 400.00 MeV   5.209E+01  4.763E-02   36.87 um     9781 A      3993 A
 450.00 MeV   5.051E+01  4.300E-02   41.20 um     1.15 um     4113 A
 500.00 MeV   4.893E+01  3.924E-02   45.66 um     1.32 um     4233 A
 550.00 MeV   4.738E+01  3.611E-02   50.27 um     1.47 um     4356 A
 600.00 MeV   4.590E+01  3.347E-02   55.02 um     1.62 um     4480 A
 650.00 MeV   4.449E+01  3.121E-02   59.93 um     1.76 um     4608 A
 700.00 MeV   4.316E+01  2.925E-02   64.99 um     1.90 um     4738 A
 800.00 MeV   4.072E+01  2.602E-02   75.58 um     2.42 um     5010 A
 900.00 MeV   3.858E+01  2.346E-02   86.77 um     2.89 um     5297 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom
  2.2529E+02                keV / micron
  2.2529E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  1.9945E+01                 eV / (1E15 atoms/cm2)
  4.4846E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
