 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   1.776E+01  7.967E-01    3.46 um     2658 A      3211 A
  12.00 MeV   1.867E+01  7.474E-01    3.66 um     2710 A      3299 A
  13.00 MeV   1.950E+01  7.044E-01    3.84 um     2755 A      3378 A
  14.00 MeV   2.026E+01  6.666E-01    4.02 um     2796 A      3450 A
  15.00 MeV   2.096E+01  6.331E-01    4.19 um     2833 A      3516 A
  16.00 MeV   2.160E+01  6.031E-01    4.36 um     2867 A      3576 A
  17.00 MeV   2.219E+01  5.760E-01    4.53 um     2899 A      3633 A
  18.00 MeV   2.274E+01  5.516E-01    4.69 um     2928 A      3686 A
  20.00 MeV   2.372E+01  5.089E-01    4.99 um     2996 A      3782 A
  22.50 MeV   2.478E+01  4.648E-01    5.37 um     3081 A      3888 A
  25.00 MeV   2.568E+01  4.284E-01    5.73 um     3156 A      3982 A
  27.50 MeV   2.647E+01  3.977E-01    6.07 um     3223 A      4066 A
  30.00 MeV   2.717E+01  3.714E-01    6.41 um     3285 A      4143 A
  32.50 MeV   2.781E+01  3.487E-01    6.74 um     3342 A      4214 A
  35.00 MeV   2.839E+01  3.289E-01    7.07 um     3395 A      4280 A
  37.50 MeV   2.893E+01  3.113E-01    7.39 um     3445 A      4341 A
  40.00 MeV   2.944E+01  2.957E-01    7.70 um     3491 A      4399 A
  45.00 MeV   3.040E+01  2.691E-01    8.31 um     3629 A      4504 A
  50.00 MeV   3.130E+01  2.472E-01    8.90 um     3753 A      4599 A
  55.00 MeV   3.217E+01  2.289E-01    9.48 um     3866 A      4685 A
  60.00 MeV   3.301E+01  2.132E-01   10.04 um     3969 A      4764 A
  65.00 MeV   3.384E+01  1.998E-01   10.59 um     4065 A      4838 A
  70.00 MeV   3.463E+01  1.880E-01   11.13 um     4153 A      4906 A
  80.00 MeV   3.614E+01  1.685E-01   12.17 um     4436 A      5028 A
  90.00 MeV   3.752E+01  1.529E-01   13.17 um     4681 A      5137 A
 100.00 MeV   3.877E+01  1.401E-01   14.14 um     4898 A      5235 A
 110.00 MeV   3.989E+01  1.294E-01   15.07 um     5094 A      5325 A
 120.00 MeV   4.088E+01  1.204E-01   15.98 um     5272 A      5407 A
 130.00 MeV   4.176E+01  1.126E-01   16.88 um     5436 A      5482 A
 140.00 MeV   4.253E+01  1.058E-01   17.75 um     5589 A      5553 A
 150.00 MeV   4.321E+01  9.984E-02   18.61 um     5733 A      5620 A
 160.00 MeV   4.380E+01  9.456E-02   19.46 um     5869 A      5683 A
 170.00 MeV   4.430E+01  8.985E-02   20.30 um     5998 A      5743 A
 180.00 MeV   4.471E+01  8.561E-02   21.13 um     6122 A      5800 A
 200.00 MeV   4.480E+01  7.830E-02   22.78 um     6570 A      5908 A
 225.00 MeV   4.456E+01  7.085E-02   24.85 um     7211 A      6035 A
 250.00 MeV   4.470E+01  6.476E-02   26.92 um     7800 A      6154 A
 275.00 MeV   4.466E+01  5.970E-02   28.98 um     8346 A      6268 A
 300.00 MeV   4.446E+01  5.541E-02   31.06 um     8860 A      6377 A
 325.00 MeV   4.416E+01  5.173E-02   33.14 um     9352 A      6482 A
 350.00 MeV   4.377E+01  4.854E-02   35.24 um     9826 A      6585 A
 375.00 MeV   4.333E+01  4.574E-02   37.37 um     1.03 um     6686 A
 400.00 MeV   4.283E+01  4.326E-02   39.51 um     1.07 um     6785 A
 450.00 MeV   4.177E+01  3.908E-02   43.88 um     1.24 um     6981 A
 500.00 MeV   4.065E+01  3.567E-02   48.37 um     1.40 um     7175 A
 550.00 MeV   3.952E+01  3.283E-02   52.98 um     1.54 um     7369 A
 600.00 MeV   3.841E+01  3.044E-02   57.73 um     1.68 um     7565 A
 650.00 MeV   3.733E+01  2.839E-02   62.61 um     1.82 um     7763 A
 700.00 MeV   3.629E+01  2.661E-02   67.64 um     1.96 um     7964 A
 800.00 MeV   3.436E+01  2.368E-02   78.11 um     2.46 um     8377 A
 900.00 MeV   3.262E+01  2.136E-02   89.16 um     2.91 um     8808 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.7019E+01                 eV / Angstrom
  2.7019E+02                keV / micron
  2.7019E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  4.4804E+01                 eV / (1E15 atoms/cm2)
  5.7321E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
