 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Helium (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  5.6504E-06 g/cm3 = 8.5003E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   6.385E+01  1.242E+01  636.65 mm    31.89 mm    36.03 mm
   3.50 MeV   6.823E+01  1.181E+01  674.08 mm    32.95 mm    37.46 mm
   3.75 MeV   7.261E+01  1.126E+01  709.79 mm    33.90 mm    38.77 mm
   4.00 MeV   7.700E+01  1.076E+01  743.89 mm    34.74 mm    39.97 mm
   4.50 MeV   8.571E+01  9.911E+00  807.77 mm    36.74 mm    42.08 mm
   5.00 MeV   9.429E+01  9.197E+00  866.63 mm    38.36 mm    43.87 mm
   5.50 MeV   1.027E+02  8.589E+00  921.21 mm    39.70 mm    45.42 mm
   6.00 MeV   1.109E+02  8.065E+00  972.12 mm    40.84 mm    46.77 mm
   6.50 MeV   1.190E+02  7.608E+00    1.02 m     41.81 mm    47.95 mm
   7.00 MeV   1.269E+02  7.205E+00    1.06 m     42.65 mm    49.00 mm
   8.00 MeV   1.421E+02  6.526E+00    1.15 m     44.82 mm    50.78 mm
   9.00 MeV   1.567E+02  5.975E+00    1.22 m     46.53 mm    52.23 mm
  10.00 MeV   1.706E+02  5.518E+00    1.29 m     47.91 mm    53.43 mm
  11.00 MeV   1.840E+02  5.132E+00    1.36 m     49.06 mm    54.46 mm
  12.00 MeV   1.968E+02  4.801E+00    1.42 m     50.04 mm    55.34 mm
  13.00 MeV   2.091E+02  4.514E+00    1.47 m     50.89 mm    56.10 mm
  14.00 MeV   2.208E+02  4.262E+00    1.53 m     51.63 mm    56.78 mm
  15.00 MeV   2.320E+02  4.040E+00    1.58 m     52.29 mm    57.38 mm
  16.00 MeV   2.427E+02  3.841E+00    1.63 m     52.89 mm    57.92 mm
  17.00 MeV   2.529E+02  3.663E+00    1.67 m     53.42 mm    58.40 mm
  18.00 MeV   2.627E+02  3.502E+00    1.72 m     53.91 mm    58.84 mm
  20.00 MeV   2.810E+02  3.222E+00    1.80 m     55.43 mm    59.62 mm
  22.50 MeV   3.015E+02  2.934E+00    1.90 m     57.39 mm    60.43 mm
  25.00 MeV   3.199E+02  2.697E+00    2.00 m     59.05 mm    61.12 mm
  27.50 MeV   3.363E+02  2.499E+00    2.09 m     60.50 mm    61.71 mm
  30.00 MeV   3.509E+02  2.329E+00    2.17 m     61.79 mm    62.23 mm
  32.50 MeV   3.640E+02  2.183E+00    2.25 m     62.95 mm    62.68 mm
  35.00 MeV   3.756E+02  2.056E+00    2.33 m     64.02 mm    63.09 mm
  37.50 MeV   3.861E+02  1.943E+00    2.41 m     65.01 mm    63.47 mm
  40.00 MeV   3.954E+02  1.843E+00    2.48 m     65.93 mm    63.81 mm
  45.00 MeV   4.112E+02  1.674E+00    2.63 m     69.16 mm    64.42 mm
  50.00 MeV   4.238E+02  1.534E+00    2.77 m     72.04 mm    64.95 mm
  55.00 MeV   4.338E+02  1.418E+00    2.91 m     74.66 mm    65.42 mm
  60.00 MeV   4.418E+02  1.319E+00    3.04 m     77.09 mm    65.85 mm
  65.00 MeV   4.480E+02  1.234E+00    3.17 m     79.37 mm    66.25 mm
  70.00 MeV   4.528E+02  1.160E+00    3.30 m     81.53 mm    66.61 mm
  80.00 MeV   4.591E+02  1.038E+00    3.56 m     89.37 mm    67.27 mm
  90.00 MeV   4.622E+02  9.399E-01    3.81 m     96.43 mm    67.87 mm
 100.00 MeV   4.631E+02  8.600E-01    4.07 m    102.95 mm    68.42 mm
 110.00 MeV   4.624E+02  7.934E-01    4.32 m    109.08 mm    68.93 mm
 120.00 MeV   4.606E+02  7.369E-01    4.58 m    114.91 mm    69.42 mm
 130.00 MeV   4.581E+02  6.885E-01    4.83 m    120.51 mm    69.88 mm
 140.00 MeV   4.551E+02  6.464E-01    5.09 m    125.92 mm    70.33 mm
 150.00 MeV   4.517E+02  6.094E-01    5.35 m    131.19 mm    70.77 mm
 160.00 MeV   4.495E+02  5.767E-01    5.61 m    136.30 mm    71.19 mm
 170.00 MeV   4.478E+02  5.475E-01    5.87 m    141.28 mm    71.61 mm
 180.00 MeV   4.440E+02  5.214E-01    6.13 m    146.14 mm    72.01 mm
 200.00 MeV   4.357E+02  4.762E-01    6.67 m    164.58 mm    72.81 mm
 225.00 MeV   4.271E+02  4.303E-01    7.35 m    190.75 mm    73.79 mm
 250.00 MeV   4.188E+02  3.929E-01    8.04 m    214.63 mm    74.76 mm
 275.00 MeV   4.107E+02  3.618E-01    8.75 m    236.92 mm    75.72 mm
 300.00 MeV   4.029E+02  3.355E-01    9.48 m    258.05 mm    76.68 mm
 325.00 MeV   3.955E+02  3.130E-01   10.21 m    278.30 mm    77.65 mm
 350.00 MeV   3.884E+02  2.934E-01   10.96 m    297.86 mm    78.62 mm
 375.00 MeV   3.816E+02  2.763E-01   11.72 m    316.86 mm    79.61 mm
 400.00 MeV   3.749E+02  2.612E-01   12.50 m    335.42 mm    80.61 mm
 450.00 MeV   3.623E+02  2.357E-01   14.10 m    404.28 mm    82.64 mm
 500.00 MeV   3.504E+02  2.149E-01   15.75 m    466.86 mm    84.74 mm
 550.00 MeV   3.390E+02  1.977E-01   17.45 m    525.57 mm    86.92 mm
 600.00 MeV   3.281E+02  1.831E-01   19.22 m    581.77 mm    89.17 mm
 650.00 MeV   3.175E+02  1.707E-01   21.04 m    636.33 mm    91.51 mm
 700.00 MeV   3.073E+02  1.599E-01   22.92 m    689.82 mm    93.93 mm
 800.00 MeV   2.879E+02  1.421E-01   26.88 m    888.20 mm    99.09 mm
 900.00 MeV   2.697E+02  1.281E-01   31.10 m      1.07 m    104.67 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  8.5003E-06                 eV / Angstrom
  8.5003E-05                keV / micron
  8.5003E-05                MeV / mm
  1.5044E-01                keV / (ug/cm2)
  1.5044E-01                MeV / (mg/cm2)
  1.5044E+02                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  6.0990E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
