 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C (gas).txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  1.9100E-04 g/cm3 = 2.7705E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.133E-01  7.303E+00  102.60 um    19.83 um    15.70 um
  11.00 keV   7.481E-01  7.490E+00  108.60 um    20.77 um    16.53 um
  12.00 keV   7.814E-01  7.658E+00  114.46 um    21.68 um    17.34 um
  13.00 keV   8.133E-01  7.811E+00  120.20 um    22.55 um    18.13 um
  14.00 keV   8.440E-01  7.951E+00  125.82 um    23.41 um    18.89 um
  15.00 keV   8.736E-01  8.079E+00  131.34 um    24.23 um    19.64 um
  16.00 keV   9.022E-01  8.196E+00  136.78 um    25.04 um    20.37 um
  17.00 keV   9.300E-01  8.305E+00  142.13 um    25.83 um    21.09 um
  18.00 keV   9.570E-01  8.406E+00  147.42 um    26.61 um    21.80 um
  20.00 keV   1.009E+00  8.587E+00  157.79 um    28.13 um    23.17 um
  22.50 keV   1.070E+00  8.781E+00  170.44 um    29.97 um    24.83 um
  25.00 keV   1.128E+00  8.945E+00  182.81 um    31.74 um    26.43 um
  27.50 keV   1.183E+00  9.087E+00  194.94 um    33.46 um    27.98 um
  30.00 keV   1.235E+00  9.209E+00  206.86 um    35.12 um    29.50 um
  32.50 keV   1.286E+00  9.315E+00  218.61 um    36.74 um    30.98 um
  35.00 keV   1.334E+00  9.407E+00  230.20 um    38.33 um    32.43 um
  37.50 keV   1.381E+00  9.488E+00  241.66 um    39.88 um    33.85 um
