 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 31, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Carbon.txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   2.053E+01  7.964E-01    3.66 um     1845 A      2247 A
  12.00 MeV   2.178E+01  7.460E-01    3.86 um     1888 A      2304 A
  13.00 MeV   2.300E+01  7.022E-01    4.05 um     1925 A      2355 A
  14.00 MeV   2.419E+01  6.638E-01    4.23 um     1958 A      2401 A
  15.00 MeV   2.534E+01  6.297E-01    4.41 um     1988 A      2442 A
  16.00 MeV   2.646E+01  5.993E-01    4.57 um     2014 A      2480 A
  17.00 MeV   2.754E+01  5.719E-01    4.73 um     2038 A      2514 A
  18.00 MeV   2.858E+01  5.472E-01    4.89 um     2060 A      2545 A
  20.00 MeV   3.054E+01  5.042E-01    5.18 um     2119 A      2601 A
  22.50 MeV   3.278E+01  4.598E-01    5.53 um     2192 A      2661 A
  25.00 MeV   3.478E+01  4.232E-01    5.85 um     2254 A      2712 A
  27.50 MeV   3.657E+01  3.924E-01    6.16 um     2308 A      2756 A
  30.00 MeV   3.816E+01  3.661E-01    6.45 um     2355 A      2795 A
  32.50 MeV   3.958E+01  3.434E-01    6.74 um     2398 A      2830 A
  35.00 MeV   4.083E+01  3.236E-01    7.01 um     2437 A      2862 A
  37.50 MeV   4.195E+01  3.061E-01    7.27 um     2473 A      2891 A
  40.00 MeV   4.294E+01  2.906E-01    7.53 um     2507 A      2918 A
  45.00 MeV   4.460E+01  2.641E-01    8.04 um     2617 A      2966 A
  50.00 MeV   4.592E+01  2.424E-01    8.52 um     2716 A      3008 A
  55.00 MeV   4.698E+01  2.242E-01    9.00 um     2806 A      3046 A
  60.00 MeV   4.782E+01  2.087E-01    9.46 um     2890 A      3081 A
  65.00 MeV   4.849E+01  1.954E-01    9.92 um     2969 A      3113 A
  70.00 MeV   4.903E+01  1.838E-01   10.38 um     3043 A      3143 A
  80.00 MeV   4.981E+01  1.645E-01   11.27 um     3305 A      3198 A
  90.00 MeV   5.030E+01  1.492E-01   12.15 um     3542 A      3247 A
 100.00 MeV   5.059E+01  1.366E-01   13.03 um     3761 A      3293 A
 110.00 MeV   5.075E+01  1.261E-01   13.91 um     3965 A      3336 A
 120.00 MeV   5.081E+01  1.172E-01   14.78 um     4158 A      3376 A
 130.00 MeV   5.080E+01  1.095E-01   15.65 um     4342 A      3414 A
 140.00 MeV   5.074E+01  1.029E-01   16.52 um     4519 A      3451 A
 150.00 MeV   5.063E+01  9.704E-02   17.39 um     4690 A      3487 A
 160.00 MeV   5.049E+01  9.187E-02   18.27 um     4855 A      3522 A
 170.00 MeV   5.032E+01  8.726E-02   19.15 um     5016 A      3556 A
 180.00 MeV   5.040E+01  8.311E-02   20.03 um     5172 A      3588 A
 200.00 MeV   5.014E+01  7.597E-02   21.79 um     5749 A      3652 A
 225.00 MeV   4.959E+01  6.868E-02   24.01 um     6559 A      3729 A
 250.00 MeV   4.912E+01  6.275E-02   26.26 um     7294 A      3803 A
 275.00 MeV   4.862E+01  5.781E-02   28.53 um     7974 A      3876 A
 300.00 MeV   4.809E+01  5.363E-02   30.82 um     8613 A      3948 A
 325.00 MeV   4.753E+01  5.005E-02   33.14 um     9221 A      4018 A
 350.00 MeV   4.696E+01  4.694E-02   35.48 um     9805 A      4088 A
 375.00 MeV   4.637E+01  4.422E-02   37.86 um     1.04 um     4158 A
 400.00 MeV   4.578E+01  4.181E-02   40.27 um     1.09 um     4228 A
 450.00 MeV   4.458E+01  3.774E-02   45.18 um     1.29 um     4367 A
 500.00 MeV   4.339E+01  3.443E-02   50.22 um     1.48 um     4507 A
 550.00 MeV   4.222E+01  3.169E-02   55.40 um     1.65 um     4649 A
 600.00 MeV   4.108E+01  2.937E-02   60.73 um     1.82 um     4793 A
 650.00 MeV   3.998E+01  2.738E-02   66.20 um     1.97 um     4940 A
 700.00 MeV   3.892E+01  2.566E-02   71.82 um     2.13 um     5090 A
 800.00 MeV   3.693E+01  2.282E-02   83.53 um     2.70 um     5400 A
 900.00 MeV   3.511E+01  2.057E-02   95.85 um     3.21 um     5724 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom
  2.2529E+02                keV / micron
  2.2529E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  1.9945E+01                 eV / (1E15 atoms/cm2)
  4.6878E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
