 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\krypton in Helium (gas).txt

 Ion = Krypton [36] , Mass = 85.91 amu

 Target Density =  1.3560E-04 g/cm3 = 2.0399E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.000E+01  1.814E+00   30.30 mm     1.44 mm     1.62 mm
   4.00 MeV   1.060E+01  1.735E+00   31.82 mm     1.48 mm     1.67 mm
   4.50 MeV   1.180E+01  1.599E+00   34.67 mm     1.57 mm     1.77 mm
   5.00 MeV   1.299E+01  1.485E+00   37.31 mm     1.64 mm     1.85 mm
   5.50 MeV   1.416E+01  1.388E+00   39.76 mm     1.71 mm     1.92 mm
   6.00 MeV   1.531E+01  1.304E+00   42.04 mm     1.76 mm     1.98 mm
   6.50 MeV   1.643E+01  1.230E+00   44.19 mm     1.81 mm     2.04 mm
   7.00 MeV   1.754E+01  1.166E+00   46.21 mm     1.85 mm     2.09 mm
   8.00 MeV   1.968E+01  1.057E+00   49.94 mm     1.95 mm     2.17 mm
   9.00 MeV   2.174E+01  9.682E-01   53.33 mm     2.03 mm     2.24 mm
  10.00 MeV   2.372E+01  8.946E-01   56.44 mm     2.09 mm     2.29 mm
  11.00 MeV   2.563E+01  8.324E-01   59.32 mm     2.14 mm     2.34 mm
  12.00 MeV   2.746E+01  7.791E-01   62.01 mm     2.19 mm     2.38 mm
  13.00 MeV   2.921E+01  7.328E-01   64.54 mm     2.23 mm     2.42 mm
  14.00 MeV   3.090E+01  6.922E-01   66.94 mm     2.26 mm     2.45 mm
  15.00 MeV   3.253E+01  6.563E-01   69.21 mm     2.29 mm     2.48 mm
  16.00 MeV   3.409E+01  6.242E-01   71.38 mm     2.32 mm     2.50 mm
  17.00 MeV   3.559E+01  5.954E-01   73.46 mm     2.34 mm     2.52 mm
  18.00 MeV   3.702E+01  5.694E-01   75.46 mm     2.37 mm     2.55 mm
  20.00 MeV   3.972E+01  5.241E-01   79.24 mm     2.43 mm     2.58 mm
  22.50 MeV   4.280E+01  4.775E-01   83.65 mm     2.52 mm     2.62 mm
  25.00 MeV   4.557E+01  4.391E-01   87.78 mm     2.60 mm     2.65 mm
  27.50 MeV   4.807E+01  4.069E-01   91.68 mm     2.66 mm     2.68 mm
  30.00 MeV   5.032E+01  3.795E-01   95.39 mm     2.72 mm     2.70 mm
  32.50 MeV   5.235E+01  3.557E-01   98.96 mm     2.77 mm     2.72 mm
  35.00 MeV   5.419E+01  3.350E-01  102.39 mm     2.81 mm     2.74 mm
  37.50 MeV   5.584E+01  3.168E-01  105.72 mm     2.85 mm     2.76 mm
  40.00 MeV   5.734E+01  3.006E-01  108.96 mm     2.89 mm     2.77 mm
  45.00 MeV   5.991E+01  2.730E-01  115.22 mm     3.03 mm     2.80 mm
  50.00 MeV   6.201E+01  2.504E-01  121.24 mm     3.15 mm     2.82 mm
  55.00 MeV   6.372E+01  2.315E-01  127.08 mm     3.26 mm     2.85 mm
  60.00 MeV   6.511E+01  2.154E-01  132.78 mm     3.36 mm     2.86 mm
  65.00 MeV   6.623E+01  2.016E-01  138.38 mm     3.46 mm     2.88 mm
  70.00 MeV   6.713E+01  1.895E-01  143.89 mm     3.55 mm     2.90 mm
  80.00 MeV   6.842E+01  1.695E-01  154.74 mm     3.87 mm     2.93 mm
  90.00 MeV   6.917E+01  1.536E-01  165.43 mm     4.16 mm     2.95 mm
 100.00 MeV   6.955E+01  1.406E-01  176.04 mm     4.42 mm     2.98 mm
 110.00 MeV   6.967E+01  1.297E-01  186.61 mm     4.67 mm     3.00 mm
 120.00 MeV   6.959E+01  1.205E-01  197.19 mm     4.91 mm     3.02 mm
 130.00 MeV   6.937E+01  1.126E-01  207.78 mm     5.13 mm     3.04 mm
 140.00 MeV   6.904E+01  1.057E-01  218.42 mm     5.35 mm     3.06 mm
 150.00 MeV   6.865E+01  9.971E-02  229.12 mm     5.56 mm     3.07 mm
 160.00 MeV   6.820E+01  9.437E-02  239.88 mm     5.77 mm     3.09 mm
 170.00 MeV   6.772E+01  8.961E-02  250.72 mm     5.97 mm     3.11 mm
 180.00 MeV   6.758E+01  8.533E-02  261.60 mm     6.16 mm     3.12 mm
 200.00 MeV   6.670E+01  7.796E-02  283.55 mm     6.90 mm     3.16 mm
 225.00 MeV   6.534E+01  7.046E-02  311.45 mm     7.95 mm     3.20 mm
 250.00 MeV   6.417E+01  6.435E-02  339.89 mm     8.92 mm     3.24 mm
 275.00 MeV   6.303E+01  5.926E-02  368.86 mm     9.81 mm     3.27 mm
 300.00 MeV   6.192E+01  5.496E-02  398.35 mm    10.67 mm     3.31 mm
 325.00 MeV   6.086E+01  5.128E-02  428.36 mm    11.48 mm     3.35 mm
 350.00 MeV   5.984E+01  4.808E-02  458.89 mm    12.27 mm     3.39 mm
 375.00 MeV   5.885E+01  4.528E-02  489.94 mm    13.03 mm     3.43 mm
 400.00 MeV   5.790E+01  4.281E-02  521.50 mm    13.78 mm     3.47 mm
 450.00 MeV   5.609E+01  3.863E-02  586.17 mm    16.54 mm     3.55 mm
 500.00 MeV   5.438E+01  3.523E-02  652.91 mm    19.04 mm     3.63 mm
 550.00 MeV   5.276E+01  3.241E-02  721.72 mm    21.39 mm     3.71 mm
 600.00 MeV   5.120E+01  3.003E-02  792.65 mm    23.63 mm     3.80 mm
 650.00 MeV   4.969E+01  2.799E-02  865.73 mm    25.79 mm     3.88 mm
 700.00 MeV   4.824E+01  2.623E-02  941.01 mm    27.90 mm     3.98 mm
 800.00 MeV   4.547E+01  2.331E-02    1.10 m     35.70 mm     4.17 mm
 900.00 MeV   4.285E+01  2.101E-02    1.27 m     42.82 mm     4.38 mm
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3560E-03                 eV / Angstrom
  1.3560E-02                keV / micron
  1.3560E-02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  6.6471E+00                 eV / (1E15 atoms/cm2)
  4.0356E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
