 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Carbon.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   4.375E+02  1.471E+01    3.52 um     1788 A      2192 A
  12.00 MeV   4.642E+02  1.378E+01    3.71 um     1826 A      2244 A
  13.00 MeV   4.901E+02  1.297E+01    3.89 um     1860 A      2291 A
  14.00 MeV   5.152E+02  1.225E+01    4.06 um     1890 A      2332 A
  15.00 MeV   5.394E+02  1.162E+01    4.23 um     1917 A      2370 A
  16.00 MeV   5.626E+02  1.105E+01    4.38 um     1941 A      2404 A
  17.00 MeV   5.849E+02  1.055E+01    4.54 um     1963 A      2435 A
  18.00 MeV   6.062E+02  1.009E+01    4.68 um     1983 A      2464 A
  20.00 MeV   6.461E+02  9.291E+00    4.96 um     2037 A      2515 A
  22.50 MeV   6.908E+02  8.469E+00    5.28 um     2104 A      2570 A
  25.00 MeV   7.302E+02  7.791E+00    5.59 um     2162 A      2616 A
  27.50 MeV   7.649E+02  7.222E+00    5.88 um     2212 A      2657 A
  30.00 MeV   7.954E+02  6.737E+00    6.17 um     2257 A      2693 A
  32.50 MeV   8.221E+02  6.318E+00    6.44 um     2298 A      2726 A
  35.00 MeV   8.455E+02  5.952E+00    6.70 um     2335 A      2755 A
  37.50 MeV   8.661E+02  5.629E+00    6.96 um     2370 A      2782 A
  40.00 MeV   8.842E+02  5.342E+00    7.21 um     2403 A      2807 A
  45.00 MeV   9.141E+02  4.854E+00    7.70 um     2511 A      2852 A
  50.00 MeV   9.374E+02  4.453E+00    8.17 um     2608 A      2892 A
  55.00 MeV   9.556E+02  4.118E+00    8.64 um     2698 A      2929 A
  60.00 MeV   9.698E+02  3.833E+00    9.09 um     2782 A      2962 A
  65.00 MeV   9.810E+02  3.587E+00    9.55 um     2860 A      2993 A
  70.00 MeV   9.897E+02  3.374E+00    9.99 um     2935 A      3022 A
