 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Aluminum (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   7.122E+02  2.965E+01    3.47 um     2753 A      3339 A
  11.00 MeV   7.496E+02  2.762E+01    3.68 um     2812 A      3438 A
  12.00 MeV   7.840E+02  2.589E+01    3.89 um     2864 A      3528 A
  13.00 MeV   8.158E+02  2.437E+01    4.09 um     2911 A      3608 A
  14.00 MeV   8.454E+02  2.305E+01    4.28 um     2953 A      3682 A
  15.00 MeV   8.729E+02  2.187E+01    4.47 um     2991 A      3750 A
  16.00 MeV   8.986E+02  2.082E+01    4.65 um     3027 A      3812 A
  17.00 MeV   9.227E+02  1.987E+01    4.83 um     3059 A      3871 A
  18.00 MeV   9.455E+02  1.901E+01    5.00 um     3089 A      3925 A
  20.00 MeV   9.872E+02  1.753E+01    5.33 um     3162 A      4024 A
  22.50 MeV   1.033E+03  1.599E+01    5.74 um     3251 A      4134 A
  25.00 MeV   1.074E+03  1.472E+01    6.12 um     3330 A      4231 A
  27.50 MeV   1.111E+03  1.365E+01    6.50 um     3401 A      4318 A
  30.00 MeV   1.145E+03  1.274E+01    6.86 um     3465 A      4396 A
  32.50 MeV   1.176E+03  1.195E+01    7.21 um     3524 A      4469 A
  35.00 MeV   1.204E+03  1.127E+01    7.55 um     3579 A      4535 A
  37.50 MeV   1.232E+03  1.066E+01    7.89 um     3630 A      4597 A
  40.00 MeV   1.257E+03  1.012E+01    8.22 um     3678 A      4655 A
  45.00 MeV   1.306E+03  9.201E+00    8.86 um     3819 A      4760 A
  50.00 MeV   1.352E+03  8.446E+00    9.48 um     3945 A      4855 A
  55.00 MeV   1.395E+03  7.814E+00   10.08 um     4058 A      4940 A
  60.00 MeV   1.436E+03  7.276E+00   10.66 um     4162 A      5017 A
  65.00 MeV   1.474E+03  6.813E+00   11.23 um     4257 A      5088 A
  70.00 MeV   1.510E+03  6.409E+00   11.78 um     4345 A      5154 A
  80.00 MeV   1.576E+03  5.739E+00   12.85 um     4629 A      5273 A
  90.00 MeV   1.633E+03  5.204E+00   13.88 um     4876 A      5378 A
 100.00 MeV   1.682E+03  4.766E+00   14.87 um     5096 A      5473 A
 110.00 MeV   1.723E+03  4.400E+00   15.84 um     5295 A      5559 A
 120.00 MeV   1.758E+03  4.090E+00   16.79 um     5479 A      5638 A
 130.00 MeV   1.787E+03  3.824E+00   17.73 um     5650 A      5712 A
 140.00 MeV   1.812E+03  3.592E+00   18.64 um     5811 A      5781 A
 150.00 MeV   1.831E+03  3.389E+00   19.55 um     5963 A      5846 A
 160.00 MeV   1.842E+03  3.208E+00   20.45 um     6109 A      5909 A
 170.00 MeV   1.841E+03  3.048E+00   21.35 um     6251 A      5968 A
 180.00 MeV   1.828E+03  2.903E+00   22.25 um     6390 A      6026 A
 200.00 MeV   1.822E+03  2.654E+00   24.07 um     6905 A      6137 A
 225.00 MeV   1.818E+03  2.400E+00   26.34 um     7637 A      6268 A
 250.00 MeV   1.806E+03  2.193E+00   28.63 um     8310 A      6393 A
 275.00 MeV   1.788E+03  2.020E+00   30.93 um     8942 A      6514 A
 300.00 MeV   1.765E+03  1.875E+00   33.26 um     9545 A      6631 A
 325.00 MeV   1.740E+03  1.750E+00   35.62 um     1.01 um     6745 A
 350.00 MeV   1.713E+03  1.641E+00   38.02 um     1.07 um     6859 A
 375.00 MeV   1.684E+03  1.546E+00   40.46 um     1.13 um     6971 A
 400.00 MeV   1.655E+03  1.462E+00   42.94 um     1.18 um     7084 A
 450.00 MeV   1.597E+03  1.320E+00   48.04 um     1.38 um     7309 A
 500.00 MeV   1.539E+03  1.204E+00   53.32 um     1.58 um     7536 A
 550.00 MeV   1.485E+03  1.108E+00   58.80 um     1.76 um     7768 A
 600.00 MeV   1.433E+03  1.027E+00   64.48 um     1.93 um     8005 A
 650.00 MeV   1.384E+03  9.578E-01   70.37 um     2.11 um     8249 A
 700.00 MeV   1.339E+03  8.976E-01   76.46 um     2.28 um     8499 A
 800.00 MeV   1.256E+03  7.984E-01   89.24 um     2.91 um     9023 A
 900.00 MeV   1.184E+03  7.198E-01  102.83 um     3.49 um     9579 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  6.0305E-01                 eV / Angstrom
  6.0305E+00                keV / micron
  6.0305E+00                MeV / mm
  2.2319E-02                keV / (ug/cm2)
  2.2319E-02                MeV / (mg/cm2)
  2.2319E+01                keV / (mg/cm2)
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.4134E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
