 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Silicon (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.641E+01  8.005E-01    3.88 um     3224 A      3862 A
  11.00 MeV   1.732E+01  7.467E-01    4.12 um     3293 A      3978 A
  12.00 MeV   1.818E+01  7.004E-01    4.35 um     3354 A      4082 A
  13.00 MeV   1.901E+01  6.600E-01    4.57 um     3407 A      4175 A
  14.00 MeV   1.980E+01  6.245E-01    4.78 um     3455 A      4260 A
  15.00 MeV   2.055E+01  5.929E-01    4.99 um     3499 A      4338 A
  16.00 MeV   2.126E+01  5.648E-01    5.19 um     3539 A      4410 A
  17.00 MeV   2.194E+01  5.394E-01    5.38 um     3575 A      4477 A
  18.00 MeV   2.259E+01  5.164E-01    5.57 um     3609 A      4538 A
  20.00 MeV   2.379E+01  4.764E-01    5.93 um     3686 A      4650 A
  22.50 MeV   2.512E+01  4.350E-01    6.36 um     3780 A      4772 A
  25.00 MeV   2.629E+01  4.008E-01    6.77 um     3862 A      4879 A
  27.50 MeV   2.731E+01  3.720E-01    7.17 um     3934 A      4974 A
  30.00 MeV   2.820E+01  3.474E-01    7.55 um     4000 A      5060 A
  32.50 MeV   2.898E+01  3.262E-01    7.92 um     4060 A      5138 A
  35.00 MeV   2.967E+01  3.075E-01    8.28 um     4115 A      5210 A
  37.50 MeV   3.028E+01  2.911E-01    8.64 um     4167 A      5277 A
  40.00 MeV   3.084E+01  2.765E-01    8.98 um     4216 A      5339 A
  45.00 MeV   3.180E+01  2.516E-01    9.66 um     4359 A      5453 A
  50.00 MeV   3.262E+01  2.311E-01   10.33 um     4488 A      5556 A
  55.00 MeV   3.335E+01  2.139E-01   10.97 um     4608 A      5649 A
  60.00 MeV   3.401E+01  1.993E-01   11.61 um     4718 A      5735 A
  65.00 MeV   3.461E+01  1.867E-01   12.23 um     4822 A      5815 A
  70.00 MeV   3.516E+01  1.757E-01   12.85 um     4920 A      5889 A
  80.00 MeV   3.614E+01  1.574E-01   14.05 um     5239 A      6026 A
  90.00 MeV   3.698E+01  1.428E-01   15.22 um     5525 A      6148 A
 100.00 MeV   3.771E+01  1.309E-01   16.37 um     5784 A      6261 A
 110.00 MeV   3.833E+01  1.209E-01   17.50 um     6023 A      6365 A
 120.00 MeV   3.886E+01  1.124E-01   18.61 um     6246 A      6462 A
 130.00 MeV   3.933E+01  1.051E-01   19.71 um     6455 A      6553 A
 140.00 MeV   3.973E+01  9.878E-02   20.79 um     6653 A      6639 A
 150.00 MeV   4.007E+01  9.321E-02   21.87 um     6842 A      6722 A
 160.00 MeV   4.037E+01  8.828E-02   22.94 um     7022 A      6800 A
 170.00 MeV   4.062E+01  8.387E-02   24.00 um     7195 A      6876 A
 180.00 MeV   4.077E+01  7.991E-02   25.05 um     7362 A      6949 A
 200.00 MeV   4.054E+01  7.308E-02   27.17 um     7971 A      7089 A
 225.00 MeV   4.039E+01  6.612E-02   29.82 um     8838 A      7256 A
 250.00 MeV   4.035E+01  6.043E-02   32.49 um     9631 A      7415 A
 275.00 MeV   4.022E+01  5.570E-02   35.16 um     1.04 um     7568 A
 300.00 MeV   4.001E+01  5.170E-02   37.84 um     1.11 um     7715 A
 325.00 MeV   3.975E+01  4.827E-02   40.53 um     1.17 um     7859 A
 350.00 MeV   3.944E+01  4.528E-02   43.25 um     1.23 um     8000 A
 375.00 MeV   3.910E+01  4.267E-02   45.99 um     1.30 um     8139 A
 400.00 MeV   3.873E+01  4.036E-02   48.75 um     1.35 um     8276 A
 450.00 MeV   3.794E+01  3.645E-02   54.37 um     1.57 um     8546 A
 500.00 MeV   3.710E+01  3.327E-02   60.10 um     1.77 um     8814 A
 550.00 MeV   3.625E+01  3.062E-02   65.97 um     1.96 um     9081 A
 600.00 MeV   3.539E+01  2.839E-02   71.98 um     2.14 um     9349 A
 650.00 MeV   3.454E+01  2.648E-02   78.14 um     2.31 um     9619 A
 700.00 MeV   3.370E+01  2.482E-02   84.45 um     2.48 um     9892 A
 800.00 MeV   3.209E+01  2.208E-02   97.54 um     3.10 um     1.04 um
 900.00 MeV   3.058E+01  1.992E-02  111.29 um     3.66 um     1.10 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom
  2.3211E+02                keV / micron
  2.3211E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  4.6637E+01                 eV / (1E15 atoms/cm2)
  5.9321E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
