 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Helium (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3000E-04 g/cm3 = 1.9557E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.016E+01  2.029E+00   29.21 mm     1.39 mm     1.54 mm
   4.00 MeV   1.076E+01  1.942E+00   30.75 mm     1.43 mm     1.60 mm
   4.50 MeV   1.202E+01  1.791E+00   33.64 mm     1.53 mm     1.70 mm
   5.00 MeV   1.333E+01  1.665E+00   36.30 mm     1.61 mm     1.78 mm
   5.50 MeV   1.468E+01  1.557E+00   38.76 mm     1.67 mm     1.85 mm
   6.00 MeV   1.603E+01  1.463E+00   41.03 mm     1.72 mm     1.92 mm
   6.50 MeV   1.738E+01  1.382E+00   43.14 mm     1.77 mm     1.97 mm
   7.00 MeV   1.872E+01  1.310E+00   45.12 mm     1.81 mm     2.02 mm
   8.00 MeV   2.133E+01  1.188E+00   48.73 mm     1.91 mm     2.10 mm
   9.00 MeV   2.380E+01  1.090E+00   51.97 mm     1.98 mm     2.17 mm
  10.00 MeV   2.611E+01  1.007E+00   54.92 mm     2.04 mm     2.22 mm
  11.00 MeV   2.825E+01  9.378E-01   57.65 mm     2.09 mm     2.27 mm
  12.00 MeV   3.024E+01  8.782E-01   60.19 mm     2.13 mm     2.31 mm
  13.00 MeV   3.207E+01  8.263E-01   62.59 mm     2.17 mm     2.34 mm
  14.00 MeV   3.376E+01  7.808E-01   64.87 mm     2.20 mm     2.37 mm
  15.00 MeV   3.532E+01  7.405E-01   67.05 mm     2.23 mm     2.40 mm
  16.00 MeV   3.676E+01  7.045E-01   69.14 mm     2.26 mm     2.42 mm
  17.00 MeV   3.810E+01  6.722E-01   71.15 mm     2.28 mm     2.45 mm
  18.00 MeV   3.935E+01  6.430E-01   73.11 mm     2.30 mm     2.47 mm
  20.00 MeV   4.162E+01  5.922E-01   76.85 mm     2.37 mm     2.50 mm
  22.50 MeV   4.410E+01  5.398E-01   81.27 mm     2.46 mm     2.54 mm
  25.00 MeV   4.628E+01  4.966E-01   85.47 mm     2.54 mm     2.57 mm
  27.50 MeV   4.823E+01  4.603E-01   89.50 mm     2.61 mm     2.60 mm
  30.00 MeV   5.000E+01  4.294E-01   93.38 mm     2.67 mm     2.63 mm
  32.50 MeV   5.163E+01  4.027E-01   97.13 mm     2.73 mm     2.65 mm
  35.00 MeV   5.314E+01  3.794E-01  100.77 mm     2.78 mm     2.67 mm
  37.50 MeV   5.455E+01  3.588E-01  104.32 mm     2.83 mm     2.69 mm
  40.00 MeV   5.587E+01  3.405E-01  107.78 mm     2.87 mm     2.71 mm
  45.00 MeV   5.829E+01  3.094E-01  114.47 mm     3.03 mm     2.74 mm
  50.00 MeV   6.044E+01  2.838E-01  120.92 mm     3.17 mm     2.76 mm
  55.00 MeV   6.236E+01  2.625E-01  127.15 mm     3.30 mm     2.79 mm
  60.00 MeV   6.409E+01  2.443E-01  133.21 mm     3.41 mm     2.81 mm
  65.00 MeV   6.563E+01  2.287E-01  139.11 mm     3.51 mm     2.83 mm
  70.00 MeV   6.701E+01  2.151E-01  144.89 mm     3.61 mm     2.85 mm
  80.00 MeV   6.933E+01  1.924E-01  156.14 mm     3.95 mm     2.88 mm
  90.00 MeV   7.115E+01  1.744E-01  167.06 mm     4.24 mm     2.91 mm
 100.00 MeV   7.256E+01  1.597E-01  177.73 mm     4.51 mm     2.93 mm
 110.00 MeV   7.363E+01  1.474E-01  188.23 mm     4.75 mm     2.96 mm
