 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Aluminum (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.511E+01  7.584E-01    3.51 um     2785 A      3357 A
  11.00 MeV   1.599E+01  7.071E-01    3.74 um     2850 A      3465 A
  12.00 MeV   1.684E+01  6.631E-01    3.95 um     2907 A      3562 A
  13.00 MeV   1.766E+01  6.247E-01    4.16 um     2958 A      3649 A
  14.00 MeV   1.844E+01  5.909E-01    4.35 um     3003 A      3728 A
  15.00 MeV   1.920E+01  5.610E-01    4.54 um     3044 A      3799 A
  16.00 MeV   1.993E+01  5.342E-01    4.73 um     3080 A      3866 A
  17.00 MeV   2.063E+01  5.101E-01    4.90 um     3114 A      3927 A
  18.00 MeV   2.130E+01  4.883E-01    5.07 um     3145 A      3983 A
  20.00 MeV   2.255E+01  4.503E-01    5.40 um     3217 A      4085 A
  22.50 MeV   2.395E+01  4.111E-01    5.79 um     3302 A      4195 A
  25.00 MeV   2.519E+01  3.787E-01    6.16 um     3376 A      4291 A
  27.50 MeV   2.628E+01  3.514E-01    6.51 um     3441 A      4376 A
  30.00 MeV   2.724E+01  3.281E-01    6.85 um     3500 A      4452 A
  32.50 MeV   2.809E+01  3.080E-01    7.18 um     3553 A      4521 A
  35.00 MeV   2.884E+01  2.904E-01    7.50 um     3602 A      4584 A
  37.50 MeV   2.951E+01  2.748E-01    7.82 um     3647 A      4643 A
  40.00 MeV   3.011E+01  2.610E-01    8.12 um     3689 A      4697 A
  45.00 MeV   3.116E+01  2.374E-01    8.72 um     3814 A      4795 A
  50.00 MeV   3.206E+01  2.180E-01    9.30 um     3927 A      4883 A
  55.00 MeV   3.284E+01  2.018E-01    9.87 um     4030 A      4963 A
  60.00 MeV   3.354E+01  1.879E-01   10.42 um     4125 A      5036 A
  65.00 MeV   3.418E+01  1.760E-01   10.96 um     4214 A      5103 A
  70.00 MeV   3.476E+01  1.656E-01   11.50 um     4297 A      5166 A
  80.00 MeV   3.577E+01  1.484E-01   12.54 um     4572 A      5280 A
  90.00 MeV   3.662E+01  1.346E-01   13.56 um     4817 A      5383 A
 100.00 MeV   3.734E+01  1.233E-01   14.55 um     5040 A      5476 A
 110.00 MeV   3.795E+01  1.139E-01   15.53 um     5246 A      5562 A
 120.00 MeV   3.846E+01  1.059E-01   16.50 um     5437 A      5642 A
 130.00 MeV   3.890E+01  9.903E-02   17.45 um     5617 A      5718 A
 140.00 MeV   3.927E+01  9.304E-02   18.40 um     5788 A      5789 A
 150.00 MeV   3.958E+01  8.779E-02   19.33 um     5951 A      5857 A
 160.00 MeV   3.984E+01  8.313E-02   20.26 um     6107 A      5922 A
 170.00 MeV   4.006E+01  7.898E-02   21.19 um     6257 A      5984 A
 180.00 MeV   4.011E+01  7.525E-02   22.11 um     6402 A      6044 A
 200.00 MeV   3.966E+01  6.881E-02   23.96 um     6937 A      6160 A
 225.00 MeV   3.943E+01  6.224E-02   26.29 um     7704 A      6299 A
 250.00 MeV   3.937E+01  5.688E-02   28.64 um     8407 A      6431 A
 275.00 MeV   3.922E+01  5.242E-02   30.99 um     9058 A      6558 A
 300.00 MeV   3.900E+01  4.865E-02   33.35 um     9670 A      6681 A
 325.00 MeV   3.873E+01  4.542E-02   35.73 um     1.03 um     6801 A
 350.00 MeV   3.842E+01  4.261E-02   38.12 um     1.08 um     6919 A
 375.00 MeV   3.808E+01  4.015E-02   40.54 um     1.14 um     7035 A
 400.00 MeV   3.771E+01  3.797E-02   42.98 um     1.19 um     7149 A
 450.00 MeV   3.692E+01  3.429E-02   47.93 um     1.38 um     7376 A
 500.00 MeV   3.610E+01  3.129E-02   53.00 um     1.56 um     7600 A
 550.00 MeV   3.525E+01  2.880E-02   58.18 um     1.72 um     7824 A
 600.00 MeV   3.441E+01  2.670E-02   63.49 um     1.88 um     8050 A
 650.00 MeV   3.357E+01  2.490E-02   68.93 um     2.03 um     8277 A
 700.00 MeV   3.276E+01  2.334E-02   74.51 um     2.18 um     8507 A
 800.00 MeV   3.118E+01  2.076E-02   86.08 um     2.73 um     8977 A
 900.00 MeV   2.970E+01  1.872E-02   98.24 um     3.23 um     9464 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.7019E+01                 eV / Angstrom
  2.7019E+02                keV / micron
  2.7019E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  4.4804E+01                 eV / (1E15 atoms/cm2)
  6.0267E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
