 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C (gas).txt

 Ion = Strontium [38] , Mass = 88.9074 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.093E-01  7.290E+00  123.85 um    23.84 um    18.86 um
  11.00 keV   7.439E-01  7.477E+00  131.09 um    24.97 um    19.86 um
  12.00 keV   7.770E-01  7.646E+00  138.15 um    26.05 um    20.83 um
  13.00 keV   8.087E-01  7.799E+00  145.06 um    27.11 um    21.78 um
  14.00 keV   8.392E-01  7.939E+00  151.84 um    28.13 um    22.70 um
  15.00 keV   8.687E-01  8.067E+00  158.49 um    29.12 um    23.60 um
  16.00 keV   8.971E-01  8.185E+00  165.04 um    30.09 um    24.47 um
  17.00 keV   9.248E-01  8.294E+00  171.49 um    31.04 um    25.34 um
  18.00 keV   9.516E-01  8.396E+00  177.86 um    31.97 um    26.18 um
  20.00 keV   1.003E+00  8.577E+00  190.35 um    33.80 um    27.83 um
  22.50 keV   1.064E+00  8.772E+00  205.59 um    36.00 um    29.82 um
  25.00 keV   1.121E+00  8.938E+00  220.49 um    38.13 um    31.74 um
  27.50 keV   1.176E+00  9.080E+00  235.09 um    40.18 um    33.61 um
  30.00 keV   1.228E+00  9.203E+00  249.45 um    42.18 um    35.43 um
  32.50 keV   1.279E+00  9.310E+00  263.59 um    44.12 um    37.20 um
  35.00 keV   1.327E+00  9.403E+00  277.55 um    46.02 um    38.94 um
  37.50 keV   1.373E+00  9.485E+00  291.35 um    47.88 um    40.65 um
