 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Mylar.txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.823E+01  9.409E-01    5.94 um     3261 A      3983 A
  11.00 MeV   1.963E+01  8.768E-01    6.30 um     3345 A      4101 A
  12.00 MeV   2.101E+01  8.217E-01    6.63 um     3417 A      4204 A
  13.00 MeV   2.237E+01  7.737E-01    6.95 um     3479 A      4295 A
  14.00 MeV   2.370E+01  7.316E-01    7.25 um     3533 A      4376 A
  15.00 MeV   2.500E+01  6.943E-01    7.53 um     3581 A      4448 A
  16.00 MeV   2.627E+01  6.609E-01    7.80 um     3623 A      4513 A
  17.00 MeV   2.750E+01  6.309E-01    8.06 um     3661 A      4572 A
  18.00 MeV   2.869E+01  6.038E-01    8.31 um     3696 A      4626 A
  20.00 MeV   3.095E+01  5.565E-01    8.78 um     3785 A      4721 A
  22.50 MeV   3.354E+01  5.077E-01    9.33 um     3892 A      4820 A
  25.00 MeV   3.589E+01  4.675E-01    9.83 um     3982 A      4904 A
  27.50 MeV   3.801E+01  4.336E-01   10.31 um     4059 A      4975 A
  30.00 MeV   3.993E+01  4.047E-01   10.76 um     4127 A      5038 A
  32.50 MeV   4.166E+01  3.798E-01   11.20 um     4187 A      5093 A
  35.00 MeV   4.321E+01  3.579E-01   11.62 um     4241 A      5143 A
  37.50 MeV   4.461E+01  3.387E-01   12.02 um     4291 A      5188 A
  40.00 MeV   4.587E+01  3.215E-01   12.41 um     4338 A      5229 A
  45.00 MeV   4.799E+01  2.923E-01   13.17 um     4485 A      5302 A
  50.00 MeV   4.967E+01  2.684E-01   13.90 um     4617 A      5366 A
  55.00 MeV   5.100E+01  2.483E-01   14.60 um     4737 A      5422 A
  60.00 MeV   5.203E+01  2.312E-01   15.29 um     4848 A      5473 A
  65.00 MeV   5.283E+01  2.165E-01   15.97 um     4952 A      5520 A
  70.00 MeV   5.344E+01  2.037E-01   16.64 um     5052 A      5563 A
  80.00 MeV   5.424E+01  1.824E-01   17.97 um     5403 A      5641 A
  90.00 MeV   5.467E+01  1.654E-01   19.28 um     5725 A      5712 A
 100.00 MeV   5.485E+01  1.515E-01   20.58 um     6026 A      5777 A
 110.00 MeV   5.487E+01  1.399E-01   21.88 um     6310 A      5837 A
 120.00 MeV   5.478E+01  1.300E-01   23.18 um     6583 A      5894 A
 130.00 MeV   5.462E+01  1.216E-01   24.49 um     6846 A      5948 A
 140.00 MeV   5.442E+01  1.142E-01   25.80 um     7100 A      6000 A
 150.00 MeV   5.418E+01  1.077E-01   27.12 um     7347 A      6051 A
 160.00 MeV   5.393E+01  1.020E-01   28.44 um     7588 A      6099 A
 170.00 MeV   5.366E+01  9.689E-02   29.76 um     7824 A      6147 A
 180.00 MeV   5.376E+01  9.230E-02   31.09 um     8053 A      6194 A
 200.00 MeV   5.364E+01  8.438E-02   33.76 um     8900 A      6283 A
 225.00 MeV   5.292E+01  7.630E-02   37.11 um     1.01 um     6391 A
 250.00 MeV   5.224E+01  6.972E-02   40.51 um     1.12 um     6496 A
 275.00 MeV   5.159E+01  6.425E-02   43.95 um     1.22 um     6599 A
 300.00 MeV   5.095E+01  5.961E-02   47.44 um     1.32 um     6700 A
 325.00 MeV   5.034E+01  5.564E-02   50.97 um     1.41 um     6800 A
 350.00 MeV   4.973E+01  5.219E-02   54.54 um     1.50 um     6900 A
 375.00 MeV   4.914E+01  4.917E-02   58.16 um     1.58 um     6999 A
 400.00 MeV   4.855E+01  4.650E-02   61.82 um     1.67 um     7098 A
 450.00 MeV   4.739E+01  4.198E-02   69.27 um     1.97 um     7296 A
 500.00 MeV   4.624E+01  3.830E-02   76.91 um     2.25 um     7496 A
 550.00 MeV   4.512E+01  3.525E-02   84.74 um     2.51 um     7699 A
 600.00 MeV   4.402E+01  3.267E-02   92.77 um     2.76 um     7904 A
 650.00 MeV   4.293E+01  3.046E-02  101.00 um     2.99 um     8113 A
 700.00 MeV   4.187E+01  2.855E-02  109.44 um     3.22 um     8325 A
 800.00 MeV   3.982E+01  2.540E-02  126.96 um     4.07 um     8765 A
 900.00 MeV   3.788E+01  2.290E-02  145.38 um     4.83 um     9226 A
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3970E+01                 eV / Angstrom
  1.3970E+02                keV / micron
  1.3970E+02                MeV / mm
  1.0000E+00                keV / (ug/cm2)
  1.0000E+00                MeV / (mg/cm2)
  1.0000E+03                keV / (mg/cm2)
  1.4505E+01                 eV / (1E15 atoms/cm2)
  4.2633E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
