 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 29, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Str in 1-3 Butadiene (ICRU-334) (gas).txt

 Ion = Strontium [38] , Mass = 87.90561 amu

 Target Density =  1.5892E-04 g/cm3 = 1.7692E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    060.00    011.18   
      C      6    040.00    088.82   
 ====================================
 Bragg Correction = 1.20%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.225E+01  2.633E+00   15.79 mm     1.08 mm     1.19 mm  
   3.50 MeV   1.279E+01  2.512E+00   16.82 mm     1.11 mm     1.24 mm  
   3.75 MeV   1.334E+01  2.403E+00   17.82 mm     1.15 mm     1.29 mm  
   4.00 MeV   1.390E+01  2.305E+00   18.80 mm     1.18 mm     1.34 mm  
   4.50 MeV   1.505E+01  2.133E+00   20.67 mm     1.26 mm     1.43 mm  
   5.00 MeV   1.622E+01  1.987E+00   22.43 mm     1.32 mm     1.50 mm  
   5.50 MeV   1.742E+01  1.863E+00   24.10 mm     1.37 mm     1.57 mm  
   6.00 MeV   1.863E+01  1.755E+00   25.68 mm     1.42 mm     1.64 mm  
   6.50 MeV   1.984E+01  1.660E+00   27.17 mm     1.46 mm     1.69 mm  
   7.00 MeV   2.105E+01  1.577E+00   28.59 mm     1.49 mm     1.74 mm  
   8.00 MeV   2.346E+01  1.434E+00   31.22 mm     1.57 mm     1.83 mm  
   9.00 MeV   2.581E+01  1.318E+00   33.63 mm     1.64 mm     1.90 mm  
  10.00 MeV   2.809E+01  1.221E+00   35.85 mm     1.69 mm     1.97 mm  
  11.00 MeV   3.027E+01  1.139E+00   37.92 mm     1.73 mm     2.02 mm  
  12.00 MeV   3.235E+01  1.068E+00   39.85 mm     1.77 mm     2.07 mm  
  13.00 MeV   3.431E+01  1.007E+00   41.68 mm     1.80 mm     2.11 mm  
  14.00 MeV   3.616E+01  9.526E-01   43.41 mm     1.83 mm     2.14 mm  
  15.00 MeV   3.790E+01  9.044E-01   45.07 mm     1.86 mm     2.18 mm  
  16.00 MeV   3.953E+01  8.614E-01   46.65 mm     1.88 mm     2.21 mm  
  17.00 MeV   4.106E+01  8.227E-01   48.18 mm     1.90 mm     2.23 mm  
  18.00 MeV   4.248E+01  7.876E-01   49.65 mm     1.92 mm     2.26 mm  
  20.00 MeV   4.507E+01  7.265E-01   52.47 mm     1.98 mm     2.30 mm  
  22.50 MeV   4.785E+01  6.634E-01   55.80 mm     2.04 mm     2.35 mm  
  25.00 MeV   5.023E+01  6.112E-01   58.97 mm     2.10 mm     2.39 mm  
  27.50 MeV   5.228E+01  5.673E-01   62.00 mm     2.16 mm     2.43 mm  
  30.00 MeV   5.405E+01  5.298E-01   64.92 mm     2.20 mm     2.46 mm  
  32.50 MeV   5.561E+01  4.973E-01   67.76 mm     2.25 mm     2.49 mm  
  35.00 MeV   5.699E+01  4.689E-01   70.53 mm     2.29 mm     2.51 mm  
  37.50 MeV   5.822E+01  4.439E-01   73.24 mm     2.32 mm     2.54 mm  
  40.00 MeV   5.933E+01  4.215E-01   75.89 mm     2.36 mm     2.56 mm  
  45.00 MeV   6.126E+01  3.835E-01   81.07 mm     2.48 mm     2.60 mm  
  50.00 MeV   6.288E+01  3.523E-01   86.11 mm     2.59 mm     2.64 mm  
  55.00 MeV   6.427E+01  3.261E-01   91.03 mm     2.69 mm     2.67 mm  
  60.00 MeV   6.547E+01  3.038E-01   95.85 mm     2.78 mm     2.70 mm  
  65.00 MeV   6.651E+01  2.846E-01  100.59 mm     2.86 mm     2.73 mm  
  70.00 MeV   6.742E+01  2.678E-01  105.27 mm     2.94 mm     2.75 mm  
  80.00 MeV   6.888E+01  2.399E-01  114.47 mm     3.23 mm     2.80 mm  
  90.00 MeV   6.995E+01  2.177E-01  123.50 mm     3.48 mm     2.84 mm  
 100.00 MeV   7.070E+01  1.995E-01  132.42 mm     3.70 mm     2.88 mm  
